# Cluster list (73 data points):
# "Cluster Identifier" "Cluster Size"
1 21554 
2 494 
3 156 
4 26 
5 208 
6 26 
7 78 
8 26 
9 364 
10 182 
11 26 
12 78 
13 78 
14 26 
15 26 
16 78 
17 130 
18 52 
19 130 
20 26 
21 52 
22 26 
23 208 
24 52 
25 130 
26 26 
27 26 
28 52 
29 26 
30 52 
31 52 
32 26 
33 26 
34 26 
35 26 
36 26 
37 26 
38 26 
39 26 
40 78 
41 52 
42 156 
43 26 
44 52 
45 26 
46 78 
47 26 
48 26 
49 26 
50 52 
51 26 
52 26 
53 52 
54 52 
55 26 
56 26 
57 26 
58 26 
59 26 
60 52 
61 26 
62 26 
63 52 
64 26 
65 26 
66 26 
67 26 
68 26 
69 52 
70 26 
71 26 
72 26 
73 26 
