# Cluster list (10 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 29670 22.0991332996 21.528367307 22.2073960229 
2 60 49.2366333333 -3.6823666667 25.1304833333 
3 60 45.4080833333 9.69015 -5.64145 
4 30 12.2815 50.5094 17.1645 
5 30 4.5073 53.2334 2.8534333333 
6 30 -3.9581 24.3411666667 46.8403 
7 30 -5.9139 -0.2638666667 37.2409666667 
8 30 7.0591333333 -4.5372 45.1930333333 
9 30 25.4573 41.1419 48.7467333333 
10 30 0.8240666667 -5.4955 37.0744 
