# Cluster list (149 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 2040 26.33605 11.8528818627 33.236672549 
2 1470 67.6107809524 36.8556387755 21.4183904762 
3 1320 48.7827575758 12.7959666667 52.7536712121 
4 1320 9.9897431818 66.9893613636 61.1314787879 
5 1320 62.5261727273 39.5038886364 60.9304727273 
6 870 71.3211183908 72.7440218391 71.5092126437 
7 780 13.4976858974 35.9079807692 49.322124359 
8 750 28.411792 24.411464 57.903032 
9 750 63.8593173333 6.8396826667 63.6556466667 
10 720 59.5277375 65.2978208333 36.8119541667 
11 630 8.2891333333 41.9754634921 13.1816285714 
12 570 76.9831315789 68.9655701754 16.5331666667 
13 540 14.0636277778 66.6108759259 27.065012963 
14 540 23.5195703704 47.0597277778 31.0016222222 
15 480 78.52546875 55.8867020833 53.09215 
16 420 3.2243690476 50.61675 50.389947619 
17 330 53.0934545455 64.1188666667 55.3673090909 
18 330 64.446869697 49.9396090909 41.6873181818 
19 330 25.4541666667 29.3252212121 17.5138060606 
20 300 66.0233066667 78.86798 8.6288233333 
21 300 71.1825933333 7.96353 33.7689066667 
22 300 56.2807266667 84.6282866667 39.2495866667 
23 300 80.20314 25.92362 69.6863666667 
24 270 58.7982 19.5647851852 40.9019148148 
25 270 44.3658407407 51.5532925926 61.6596518519 
26 270 64.3331222222 51.2784185185 5.1788 
27 240 45.9058375 47.8547208333 34.8394541667 
28 240 27.194825 59.9535375 3.3348666667 
29 210 42.2992428571 32.7092095238 77.741952381 
30 210 15.862247619 31.8755571429 73.6642857143 
31 210 37.1649047619 73.7517952381 65.4556619048 
32 210 32.0360857143 51.8538571429 54.1101285714 
33 210 74.4027809524 37.5441857143 79.4600190476 
34 210 21.5520047619 80.9564238095 7.4413285714 
35 210 55.3437380952 5.0848714286 84.8396809524 
36 210 47.2505238095 24.7342095238 5.6907428571 
37 210 72.2877857143 23.2528619048 40.004652381 
38 210 44.0695238095 6.6201 11.3509809524 
39 210 31.0586047619 15.5124333333 73.5324285714 
40 210 52.177252381 83.2337857143 21.3528904762 
41 180 54.3673111111 17.0250666667 9.1987388889 
42 180 50.9436222222 60.6965722222 80.8590611111 
43 180 30.6630611111 62.5450666667 23.3196388889 
44 180 41.4559388889 71.9625666667 12.90245 
45 180 9.1170222222 2.33595 3.0830055556 
46 180 55.7629 50.7297555556 18.2957555556 
47 180 27.9148555556 29.7742277778 83.6506777778 
48 180 25.0560166667 46.9381111111 79.0169666667 
49 180 72.0297944444 86.1830611111 42.0126111111 
50 180 39.0089666667 12.6724666667 86.3892333333 
51 180 74.5379944444 12.5856888889 3.5448 
52 180 8.2618388889 45.9332277778 74.9079611111 
53 180 28.0010277778 85.9724444444 60.7907388889 
54 180 14.0242 66.3412444444 0.4411277778 
55 150 39.6989933333 33.6814 51.40214 
56 150 11.68252 16.86236 70.9489333333 
57 150 78.1224333333 53.1500133333 10.36674 
58 150 4.7222733333 31.7953933333 71.0109333333 
59 150 16.7016333333 -0.1563266667 11.9459 
60 150 1.6487933333 21.7950733333 15.8985666667 
61 150 37.8303066667 47.5026066667 9.15048 
62 150 47.8184 68.31118 74.35868 
63 120 18.787575 76.5147416667 68.7634666667 
64 120 85.4613666667 20.1969916667 16.0188 
65 120 50.2371 15.014125 55.637575 
66 120 16.8574916667 14.0072 4.4172 
67 120 -1.640625 76.1928416667 34.1971083333 
68 120 -0.3422 25.5230666667 84.6531916667 
69 120 83.2738916667 36.7723083333 49.1155166667 
70 120 28.1866416667 -3.4391583333 1.8551416667 
71 120 50.4662666667 63.094775 -3.7208 
72 120 23.6359916667 48.7015833333 -3.6750583333 
73 120 86.6721083333 82.34465 58.0919416667 
74 120 27.5943166667 61.184875 64.8129916667 
75 120 86.0578916667 3.7098916667 78.6367416667 
76 120 -2.58145 73.4198833333 73.8861583333 
77 120 -5.881175 54.3191166667 10.6324916667 
78 120 56.049075 3.3882916667 17.5334 
79 120 34.6595583333 0.4152916667 72.7449833333 
80 120 80.8297583333 13.5120583333 57.3327 
81 120 10.186425 33.8029416667 35.6987916667 
82 90 81.0810777778 87.2805888889 25.8918333333 
83 90 82.6129333333 1.3183666667 24.8852444444 
84 90 28.1763777778 28.4023333333 1.6069333333 
85 90 1.6921888889 3.4649666667 78.7524 
86 90 28.3311222222 52.4982111111 43.8285111111 
87 90 35.8542666667 86.3348 75.0858666667 
88 90 83.1642555556 74.0414666667 33.0413 
89 90 3.0858111111 63.7922333333 33.8194444444 
90 90 39.7182555556 72.5821 82.5968555556 
91 90 80.6604555556 -6.1065333333 10.4890555556 
92 90 78.8112222222 56.9936 64.5635 
93 90 83.0251777778 -3.3127666667 56.5646111111 
94 60 -8.0420833333 51.1153 26.7947166667 
95 60 82.2874333333 21.9851833333 1.6594166667 
96 60 -1.3172 87.41405 -5.2306833333 
97 60 -0.1238166667 44.9086333333 86.8146 
98 60 43.88425 59.2006333333 6.7331166667 
99 60 19.3367166667 11.8315166667 87.4166666667 
100 60 -1.0420666667 45.7497666667 1.7084833333 
101 60 84.2779833333 24.03895 84.72855 
102 60 53.83675 5.8091666667 -0.0777833333 
103 60 64.3321666667 70.0990166667 52.1422333333 
104 60 3.7370333333 89.7662 78.0667 
105 60 35.5291333333 74.024 24.8458333333 
106 60 23.41885 94.0519166667 36.1564666667 
107 60 14.1008666667 33.2873333333 -2.5795666667 
108 60 -4.9837666667 -5.3576833333 9.0908666667 
109 60 -4.6909666667 67.4163 18.6652333333 
110 60 47.21415 25.9974333333 90.0882 
