# Cluster list (12 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 29310 24.8766004435 24.1402895258 25.0996098601 
2 210 11.9264619048 -7.7199 1.5897428571 
3 120 26.495975 55.4520583333 31.9990666667 
4 60 14.3401 53.6435 15.6597833333 
5 60 -5.4848 51.4955666667 9.23415 
6 60 6.2013333333 4.5033 21.7552333333 
7 30 54.3847 5.5225 23.1241333333 
8 30 2.5653 4.1825333333 -11.4427333333 
9 30 54.5092666667 11.9181333333 52.5180333333 
10 30 6.7395 -7.4814666667 55.4103 
11 30 11.1107 0.1194 -10.5403333333 
12 30 54.1771333333 37.7441 53.1949333333 
