# Cluster list (99 data points):
# "Cluster Identifier" "Cluster Size"
1 12068 
2 56 
3 42 
4 14 
5 14 
6 28 
7 14 
8 14 
9 14 
10 14 
11 14 
12 56 
13 14 
14 14 
15 42 
16 14 
17 28 
18 28 
19 28 
20 112 
21 28 
22 14 
23 14 
24 14 
25 28 
26 28 
27 70 
28 14 
29 14 
30 14 
31 14 
32 28 
33 14 
34 28 
35 28 
36 14 
37 28 
38 14 
39 14 
40 14 
41 28 
42 14 
43 14 
44 14 
45 14 
46 14 
47 14 
48 14 
49 42 
50 14 
51 14 
52 14 
53 14 
54 28 
55 28 
56 14 
57 14 
58 14 
59 14 
60 14 
61 14 
62 14 
63 14 
64 14 
65 14 
66 14 
67 14 
68 14 
69 14 
70 28 
71 14 
72 14 
73 14 
74 14 
75 14 
76 14 
77 14 
78 14 
79 14 
80 28 
81 14 
82 14 
83 14 
84 14 
85 28 
86 14 
87 14 
88 14 
89 14 
90 14 
91 14 
92 14 
93 14 
94 14 
95 14 
96 14 
97 14 
98 14 
99 14 
