# Cluster list (26 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 13538 19.0653369774 18.690933225 18.7728205791 
2 70 29.2700285714 44.4223571429 -1.9524 
3 70 41.3052714286 36.0275285714 1.3748142857 
4 14 -2.8572857143 -6.8284285714 12.5693571429 
5 14 21.1893571429 -5.1030714286 36.8070714286 
6 14 0.0493571429 11.0616428571 46.1162857143 
7 14 38.5772857143 -7.1565 31.0567142857 
8 14 3.5371428571 47.0840714286 -4.6231428571 
9 14 -7.5830714286 35.2277142857 29.9105714286 
10 14 -6.4885 27.0870714286 10.267 
11 14 42.8330714286 38.4267142857 20.6122142857 
12 14 38.1907857143 6.4307857143 47.4387857143 
13 14 -3.2757857143 46.0903571429 9.9059285714 
14 14 -10.8653571429 12.0886428571 28.1062142857 
15 14 27.6385714286 28.2706428571 45.2322857143 
16 14 6.8220714286 37.5299285714 39.3592857143 
17 14 -4.6293571429 31.8828571429 39.7097142857 
18 14 30.2804285714 -4.6298571429 26.2815714286 
19 14 -7.6705 13.7941428571 13.1448571429 
20 14 3.2519285714 -5.8537142857 36.3296428571 
21 14 51.4862142857 5.0056428571 36.6297142857 
22 14 2.6817857143 16.4551428571 43.1270714286 
23 14 43.6972142857 32.1610714286 14.2477857143 
24 14 51.3245714286 38.5893571429 9.6512142857 
25 14 31.3265 22.7489285714 43.7028571429 
26 14 12.0332857143 -6.1225 12.6634285714 
