# Radial distribution function (400 data points):
# "Pair separation distance" 0-0 0-1 1-1
0.00375 0.0 0.0 0.0 
0.01125 0.0 0.0 0.0 
0.01875 0.0 0.0 0.0 
0.02625 0.0 0.0 0.0 
0.03375 0.0 0.0 0.0 
0.04125 0.0 0.0 0.0 
0.04875 0.0 0.0 0.0 
0.05625 0.0 0.0 0.0 
0.06375 0.0 0.0 0.0 
0.07125 0.0 0.0 0.0 
0.07875 0.0 0.0 0.0 
0.08625 0.0 0.0 0.0 
0.09375 0.0 0.0 0.0 
0.10125 0.0 0.0 0.0 
0.10875 0.0 0.0 0.0 
0.11625 0.0 0.0 0.0 
0.12375 0.0 0.0 0.0 
0.13125 0.0 0.0 0.0 
0.13875 0.0 0.0 0.0 
0.14625 0.0 0.0 0.0 
0.15375 0.0 0.0 0.0 
0.16125 0.0 0.0 0.0 
0.16875 0.0 0.0 0.0 
0.17625 0.0 0.0 0.0 
0.18375 0.0 0.0 0.0 
0.19125 0.0 0.0 0.0 
0.19875 0.0 0.0 0.0 
0.20625 0.0 0.0 0.0 
0.21375 0.0 0.0 0.0 
0.22125 0.0 0.0 0.0 
0.22875 0.0 0.0 0.0 
0.23625 0.0 0.0 0.0 
0.24375 0.0 0.0 0.0 
0.25125 0.0 0.0 0.0 
0.25875 0.0 0.0 0.0 
0.26625 0.0 0.0 0.0 
0.27375 0.0 0.0 0.0 
0.28125 0.0 0.0 0.0 
0.28875 0.0 0.0 0.0 
0.29625 0.0 0.0 0.0 
0.30375 0.0 0.0 0.0 
0.31125 0.0 0.0 0.0 
0.31875 0.0 0.0 0.0 
0.32625 0.0 0.0 0.0 
0.33375 0.0 0.0 0.0 
0.34125 0.0 0.0 0.0 
0.34875 0.0 0.0 0.0 
0.35625 0.0 0.0 0.0 
0.36375 0.0 0.0 0.0 
0.37125 0.0 0.0 0.0 
0.37875 0.0 0.0 0.0 
0.38625 0.0 0.0 0.0 
0.39375 0.0 0.0 0.0 
0.40125 0.0 0.0 0.0 
0.40875 0.0 0.0 0.0 
0.41625 0.0 0.0 0.0 
0.42375 0.0 0.0 0.0 
0.43125 0.0 0.0 0.0 
0.43875 0.0 0.0 0.0 
0.44625 0.0 0.0 0.0 
0.45375 0.0 0.0 0.0 
0.46125 0.0 0.0 0.0 
0.46875 0.0 0.0 0.0 
0.47625 0.0 0.0 0.0 
0.48375 0.0 0.0 0.0 
0.49125 0.0 0.0 0.0 
0.49875 0.0 0.0 0.0 
0.50625 0.0 0.0 0.0 
0.51375 0.0 0.0 0.0 
0.52125 0.0 0.0 0.0 
0.52875 0.0 0.0 0.0 
0.53625 0.0 0.0 0.0 
0.54375 0.0 0.0 0.0 
0.55125 0.0 0.0 0.0 
0.55875 0.0 0.0 0.0 
0.56625 0.0 0.0 0.0 
0.57375 0.0 0.0 0.0 
0.58125 0.0 0.0 0.0 
0.58875 0.0 0.0 0.0 
0.59625 0.0 0.0 0.0 
0.60375 0.0 0.0 0.0 
0.61125 0.0 0.0 0.0 
0.61875 0.0 0.0 0.0 
0.62625 0.0 0.0 0.0 
0.63375 0.0 0.0 0.0 
0.64125 0.0 0.0 0.0 
0.64875 0.0 0.0 0.0 
0.65625 0.0 0.0 0.0 
0.66375 0.0 0.0 0.0 
0.67125 0.0 0.0 0.0 
0.67875 0.0 0.0 0.0 
0.68625 0.0 0.0 0.0 
0.69375 0.0 0.0 0.0 
0.70125 0.0 0.0 0.0 
0.70875 0.0 0.0 0.0 
0.71625 0.0 0.0 0.0 
0.72375 0.0 0.0 0.0 
0.73125 0.0 0.0 0.0 
0.73875 0.0 0.0 0.0 
0.74625 0.0 0.0 0.0 
0.75375 0.0 0.0 0.0 
0.76125 0.0 0.0 0.0 
0.76875 0.0 0.0 0.0 
0.77625 0.0 0.0 0.0 
0.78375 0.0 0.0 0.0 
0.79125 0.0 0.0 0.0 
0.79875 0.0 0.0 0.0 
0.80625 0.0 0.0 0.0 
0.81375 0.0 0.0 0.0 
0.82125 0.0 0.0 0.0 
0.82875 0.0 0.0 0.0 
0.83625 0.0 0.0 0.0 
0.84375 0.0 0.0 0.0 
0.85125 0.0 0.0 0.0 
0.85875 0.0 0.0 0.0 
0.86625 0.0 0.0 0.0 
0.87375 0.0 0.0 0.0 
0.88125 0.0 0.0 0.0 
0.88875 0.0 0.0 0.0 
0.89625 0.0 0.0 0.0 
0.90375 0.0 0.0 0.0 
0.91125 0.0 0.0 0.0 
0.91875 0.3699613386 0.0 0.0 
0.92625 0.7279887013 0.0 0.0 
0.93375 1.4326822651 0.0 0.0 
0.94125 2.4673980766 0.0 0.0 
0.94875 2.7754768267 0.0 0.0 
0.95625 5.4642217811 0.0 0.0 
0.96375 12.4401096472 0.0 0.0 
0.97125 18.8696607431 0.0 0.0 
0.97875 14.9956610189 0.0 0.0 
0.98625 22.473741064 0.0 0.0 
0.99375 30.3576637537 0.0 0.0 
1.00125 41.7417994902 0.0 0.0 
1.00875 38.6682846699 0.0 0.0 
1.01625 47.7757437483 0.0581496394 0.0 
1.02375 52.4416507585 0.0573007548 0.0 
1.03125 52.8562229668 0.0564703237 0.0 
1.03875 68.303270763 0.1113156303 0.0 
1.04625 66.4716680785 0.2194508685 0.0 
1.05375 63.2789067741 0.0540845357 0.0 
1.06125 69.3196326708 0.1599683831 0.0 
1.06875 68.6235438063 0.5783473658 0.0 
1.07625 72.5233157353 0.7258553191 0.0 
1.08375 63.014696638 0.971502139 0.0393320704 
1.09125 70.0187730815 0.8069002948 0.0387932834 
1.09875 73.4636218293 0.9451576481 0.0382654918 
1.10625 69.1535561321 1.5212604599 0.075496797 
1.11375 66.7148104988 1.3071842405 0.2606920138 
1.12125 63.3413196395 1.7196738364 0.3674516744 
1.12875 61.7670520616 1.461216891 0.616394222 
1.13625 65.0663385884 1.8141172469 0.9660979421 
1.14375 61.3511645882 2.1117581346 0.9181557107 
1.15125 61.7325088017 2.0843330922 2.0564490375 
1.15875 55.1214703342 2.1468927102 2.7524265515 
1.16625 51.8892133769 2.0310617898 2.9548892259 
1.17375 49.8681722248 1.9615976837 4.392637548 
1.18125 50.3559593393 2.6253961707 6.0917136873 
1.18875 44.4188197754 2.2098915311 6.374687109 
1.19625 48.228128301 2.3501350373 8.0382365973 
1.20375 54.9565717725 2.1551596774 9.4686749138 
1.21125 44.2739046421 1.5554811172 9.8240912667 
1.21875 38.26433923 1.8194159609 10.2944732144 
1.22625 38.6284255954 1.797228238 12.3809056395 
1.23375 43.0841058318 1.9727154685 12.2915348421 
1.24125 33.0385682164 1.1303898989 14.3322645002 
1.24875 33.8444806946 1.4634618416 13.3903796033 
1.25625 36.607641269 1.9407377388 13.9920458393 
1.26375 39.6940931122 2.068184086 14.1157179575 
1.27125 30.3382076075 1.5235993531 14.3784329199 
1.27875 29.4104480328 1.9464956865 14.8882906644 
1.28625 33.409864818 1.8149644078 13.9891872044 
1.29375 27.2398286905 1.6504638037 13.1650708087 
1.30125 31.1686129085 1.7024276509 13.5593997195 
1.30875 24.4311369699 1.6128477334 12.163784745 
1.31625 23.4325130175 1.525193155 12.9588089742 
1.32375 27.4448632354 1.4736877112 12.6278428204 
1.33125 24.4933319317 1.5249030671 11.5475565597 
1.33875 25.2651195023 1.4073408741 11.5731877745 
1.34625 24.6397864585 1.3917039151 10.7054147314 
1.35375 22.3226990192 1.2780171194 9.5284116596 
1.36125 21.2347483716 1.4908400871 8.8253744289 
1.36875 22.3361802394 1.6989344901 8.9015290409 
1.37625 19.4553803944 1.3951055042 8.3413650773 
1.38375 19.7343350516 1.1291100792 7.744537082 
1.39125 19.1994599568 1.2410769203 7.7567307518 
1.39875 18.3556622882 1.1357182352 5.8320666133 
1.40625 15.4758115773 0.8199507704 6.6810803513 
1.41375 15.7807840723 1.1117460218 6.3561362996 
1.42125 18.2428842329 0.9216581017 5.5116526679 
1.42875 15.6041510527 0.9708465021 5.6123527397 
1.43625 17.4096575329 1.018959889 5.1731809752 
1.44375 16.4801504491 0.8931550069 5.0974107091 
1.45125 15.717153376 0.9409761637 5.0229263748 
1.45875 17.1702502559 1.2699889243 4.3201332637 
1.46625 17.1403019449 0.9218219755 4.1900998887 
