# Radial distribution function (200 data points):
# "Pair separation distance" 0-0 0-1 1-1
0.00625 0.0 0.0 0.0 
0.01875 0.0 0.0 0.0 
0.03125 0.0 0.0 0.0 
0.04375 0.0 0.0 0.0 
0.05625 0.0 0.0 0.0 
0.06875 0.0 0.0 0.0 
0.08125 0.0 0.0 0.0 
0.09375 0.0 0.0 0.0 
0.10625 0.0 0.0 0.0 
0.11875 0.0 0.0 0.0 
0.13125 0.0 0.0 0.0 
0.14375 0.0 0.0 0.0 
0.15625 0.0 0.0 0.0 
0.16875 0.0 0.0 0.0 
0.18125 0.0 0.0 0.0 
0.19375 0.0 0.0 0.0 
0.20625 0.0 0.0 0.0 
0.21875 0.0 0.0 0.0 
0.23125 0.0 0.0 0.0 
0.24375 0.0 0.0 0.0 
0.25625 0.0 0.0 0.0 
0.26875 0.0 0.0 0.0 
0.28125 0.0 0.0 0.0 
0.29375 0.0 0.0 0.0 
0.30625 0.0 0.0 0.0 
0.31875 0.0 0.0 0.0 
0.33125 0.0 0.0 0.0 
0.34375 0.0 0.0 0.0 
0.35625 0.0 0.0 0.0 
0.36875 0.0 0.0 0.0 
0.38125 0.0 0.0 0.0 
0.39375 0.0 0.0 0.0 
0.40625 0.0 0.0 0.0 
0.41875 0.0 0.0 0.0 
0.43125 0.0 0.0 0.0 
0.44375 0.0 0.0 0.0 
0.45625 0.0 0.0 0.0 
0.46875 0.0 0.0 0.0 
0.48125 0.0 0.0 0.0 
0.49375 0.0 0.0 0.0 
0.50625 0.0 0.0 0.0 
0.51875 0.0 0.0 0.0 
0.53125 0.0 0.0 0.0 
0.54375 0.0 0.0 0.0 
0.55625 0.0 0.0 0.0 
0.56875 0.0 0.0 0.0 
0.58125 0.0 0.0 0.0 
0.59375 0.0 0.0 0.0 
0.60625 0.0 0.0 0.0 
0.61875 0.0 0.0 0.0 
0.63125 0.0 0.0 0.0 
0.64375 0.0 0.0 0.0 
0.65625 0.0 0.0 0.0 
0.66875 0.0 0.0 0.0 
0.68125 0.0 0.0 0.0 
0.69375 0.0 0.0 0.0 
0.70625 0.0 0.0 0.0 
0.71875 0.0 0.0 0.0 
0.73125 0.0 0.0 0.0 
0.74375 0.0 0.0 0.0 
0.75625 0.0 0.0 0.0 
0.76875 0.0 0.0 0.0 
0.78125 0.0 0.0 0.0 
0.79375 0.0 0.0 0.0 
0.80625 0.0 0.0 0.0 
0.81875 0.0 0.0 0.0 
0.83125 0.0 0.0 0.0 
0.84375 0.0 0.0 0.0 
0.85625 0.0 0.0 0.0 
0.86875 0.0 0.0 0.0 
0.88125 0.0 0.0 0.0 
0.89375 0.0 0.0 0.0 
0.90625 0.0 0.0 0.0 
0.91875 0.0 0.0 0.0 
0.93125 4.2184974093 0.0 0.0 
0.94375 9.5841452261 0.0 0.0 
0.95625 13.3360293828 0.0 0.0 
0.96875 40.2817065548 0.0 0.0 
0.98125 48.1275781859 0.0 0.0 
0.99375 71.6215322858 0.0 0.0 
1.00625 112.0059776365 0.0 0.0 
1.01875 128.0741345827 0.2349984121 0.0 
1.03125 123.8414816123 0.6880082312 0.0 
1.04375 152.2356496194 0.4477519106 0.0 
1.05625 181.4450813086 1.0930426585 0.0 
1.06875 195.3752324152 3.8434471951 0.0 
1.08125 180.4532255635 4.3809453605 0.0 
1.09375 212.0303840735 6.5240118176 0.3262005909 
1.10625 188.3329200674 6.9752933358 0.7971763812 
1.11875 185.1222458329 8.379217443 0.9353545053 
1.13125 160.0896675059 10.6726445004 3.9641251001 
1.14375 173.3891954637 11.3728397025 5.6677758517 
1.15625 156.8903925917 11.3107027217 11.9674532023 
1.16875 160.6943997307 11.6057066472 20.711722632 
1.18125 133.7147631098 10.1378513207 25.4495026259 
1.19375 138.6308548504 14.2053838921 38.7481796767 
1.20625 109.7914145811 10.7277107377 45.5927706352 
1.21875 102.6248588109 10.6729853163 53.857525904 
1.23125 109.4002502178 13.5141485563 59.9770783547 
1.24375 89.0808237763 10.7212318881 66.4716377063 
1.25625 81.9078934513 10.6634804682 65.6499493172 
1.26875 86.3624296686 9.5453211739 66.4233143275 
1.28125 65.3712959578 8.3199831219 65.3712959578 
1.29375 54.6427796327 9.4714151363 69.5930441402 
1.30625 51.4579166904 8.5763194484 63.1217111402 
1.31875 50.4870416787 7.7132980343 58.7893551992 
1.33125 35.781334615 8.1196105473 57.4703282125 
1.34375 40.5216189462 6.8886752209 47.7614815312 
1.35625 33.8114054466 8.4859997984 44.445423944 
1.36875 34.4984998953 5.0771377204 38.2217342236 
1.38125 33.237735059 5.6248474715 37.021723358 
1.39375 30.7608996054 5.3988517675 30.0326823903 
1.40625 27.1331596473 5.4266319295 32.8557896819 
1.41875 27.2629959747 5.6949369369 25.3969953613 
1.43125 18.4545541789 5.0005888743 21.8120924231 
1.44375 22.8167363312 4.914373979 19.5638887927 
1.45625 17.8263641823 4.9453784506 17.2053166559 
1.46875 27.6995888984 5.2007391401 16.099679425 
1.48125 17.2297118335 5.5579715592 14.2284071915 
1.49375 19.1286930174 3.8257386035 11.455354447 
1.50625 17.2000215146 5.1600064544 11.0940138769 
1.51875 18.5041284702 4.6524665868 11.6734616178 
1.53125 15.0826970132 5.0969114044 9.4032814482 
1.54375 16.886251371 5.8334322918 9.1697461991 
1.55625 19.1336646077 3.9274364195 9.6675358018 
1.56875 18.8299620732 3.8650974782 7.7698369818 
1.58125 11.217604435 4.6821305468 8.7399770207 
1.59375 14.8831444239 5.6651969097 7.5279904699 
1.60625 8.9805048542 4.6320498722 7.8650316197 
1.61875 13.0308256653 4.653866309 5.9569488756 
1.63125 12.8318856559 5.2244105885 6.6725805411 
1.64375 13.9914812038 5.1452543782 7.7991224259 
1.65625 17.7820477225 5.4235245554 7.0416908981 
1.66875 19.7062301127 3.240580063 6.376060232 
1.68125 13.3742895913 3.9691440077 6.9028591439 
1.69375 10.6271068006 4.4208764291 7.2774427371 
1.70625 13.8229995167 6.0318543346 5.9648337308 
1.71875 15.273902416 4.6234515421 6.5388814668 
1.73125 15.4610064456 4.3941807793 6.7051943743 
1.74375 14.0369698628 3.9303515616 6.2243934934 
1.75625 11.861029088 4.5071910535 7.2115056855 
1.76875 12.0837742922 4.9894293852 6.6109939354 
1.78125 11.1460781831 5.6114738439 6.2725515844 
1.79375 12.8863212971 4.1691039491 5.3364530548 
1.80625 10.0921090541 4.7844072553 6.6981701574 
1.81875 14.7464639432 5.456191659 7.8451188178 
1.83125 14.1821890243 3.4910003752 6.6910840525 
1.84375 13.9905407576 4.0177963201 5.7971061191 
1.85625 10.9714175433 3.6099502884 7.0217072277 
1.86875 18.1582895549 4.8887702648 6.4252409194 
1.88125 13.4383394609 3.8592154349 7.4979042736 
1.89375 13.6015607926 5.440624317 6.5831554236 
1.90625 14.7661416768 5.3695060643 7.2488331868 
1.91875 9.6058389355 4.6373015551 6.5187210431 
1.93125 11.4436656039 4.7082509913 6.2253540885 
1.94375 10.328643625 5.6807539937 7.2300505375 
1.95625 13.7023132662 5.2897302376 7.188934588 
1.96875 12.2703691894 5.285697497 6.2924970202 
1.98125 10.2520228215 5.4677455048 7.5057233747 
1.99375 13.4984989537 6.5651790366 6.3811085963 
2.00625 13.6337910409 6.2412465654 6.9320253115 
2.01875 12.8670092382 5.2664968045 8.1870086688 
2.03125 15.3691850812 5.1427657772 7.4244986392 
2.04375 13.4300169859 5.0800499034 7.3339571019 
2.05625 12.6903947801 5.3645759752 7.152767967 
2.06875 10.8278411839 6.3827274347 6.7474547167 
2.08125 12.668883156 6.418900799 7.6125911231 
2.09375 12.5180649103 5.6192202486 6.4537579093 
2.10625 12.0950366724 6.7622250487 7.0810941973 
2.11875 14.3976231826 5.4330653519 6.8673946048 
2.13125 13.9607557871 5.3695214566 8.0757602707 
2.14375 13.2677146704 5.5724401616 7.0478100329 
2.15625 12.5897591078 6.2424222243 6.420777145 
2.16875 11.1486913734 5.8076903899 8.089283043 
2.18125 14.865911415 5.6900557485 7.1356374792 
2.19375 10.8960386994 5.4733589746 7.7843327638 
2.20625 9.2697226653 6.6140723882 6.5339018138 
2.21875 9.6610057735 5.8956907028 6.9361067092 
2.23125 9.0631620527 5.3399171013 8.2695229973 
2.24375 10.1736047121 6.0557170905 7.0924558564 
2.25625 8.8634295857 6.0846246345 7.6656688309 
