# Cluster list (34 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 20702 29.2834448846 29.3947573664 30.18894701 
2 198 59.8520656566 63.1004191919 30.5084292929 
3 132 36.1500151515 61.7183560606 23.9441136364 
4 110 63.4613272727 12.7053818182 45.1622272727 
5 66 37.5841212121 67.721 39.9479393939 
6 66 63.1986969697 49.9518636364 1.3188484848 
7 66 45.4065151515 1.0317878788 -2.7743939394 
8 44 -0.48675 67.74675 6.9821136364 
9 44 47.8063181818 -4.3349772727 8.9846590909 
10 44 60.6805681818 15.5447045455 -2.5929090909 
11 22 19.9930454545 27.4554090909 74.9501363636 
12 22 -1.4730454545 -0.2179090909 20.0459090909 
13 22 63.4551818182 -3.6082727273 47.5601363636 
14 22 0.6425454545 21.1205 2.1234090909 
15 22 24.5900909091 -7.3295 53.9045909091 
16 22 -7.6673181818 53.842 40.8315 
17 22 67.561 1.6745454545 43.145 
18 22 66.5691818182 9.9032727273 54.8475 
19 22 -8.5643636364 32.8750909091 26.7658181818 
20 22 -3.9808636364 2.4067727273 26.6788181818 
21 22 63.3238636364 3.2065454545 56.5075 
22 22 25.4349090909 7.5899545455 67.2751818182 
23 22 25.9263181818 -11.71 20.365 
24 22 53.0411818182 48.6825454545 1.8434090909 
25 22 14.3216363636 -2.6070454545 34.3522272727 
26 22 63.6009090909 58.1087727273 52.3976363636 
27 22 -11.7712272727 16.9364090909 -2.0222727273 
28 22 9.0617727273 59.1055454545 -13.1440454545 
29 22 10.2165454545 -6.1099090909 29.5213636364 
30 22 47.2969090909 38.2366363636 -3.6156363636 
31 22 62.1416818182 48.1148181818 58.6371363636 
32 22 -7.1396818182 22.7067272727 19.59 
33 22 22.6184545455 -4.7580909091 62.0557272727 
34 22 28.3335454545 0.7932727273 62.4074090909 
