# Cluster list (11 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 21692 21.8682601881 21.7482990042 22.016940485 
2 110 51.6890363636 38.6431090909 2.5738272727 
3 22 20.6991818182 6.5208636364 -7.8230454545 
4 22 7.4096363636 51.0711363636 40.2460454545 
5 22 -1.5187727273 21.676 51.7604090909 
6 22 -0.4607272727 28.1295 53.6255454545 
7 22 38.1591818182 46.8369090909 -10.1081818182 
8 22 24.1428181818 3.2383181818 51.2034090909 
9 22 41.1479545455 37.0661363636 -3.3509090909 
10 22 19.2254090909 -3.6319090909 -7.1412727273 
11 22 -7.3334090909 -1.3355454545 7.8825909091 
