# Cluster list (14 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 21582 26.0555524975 25.7933388935 26.2762026226 
2 132 15.4104166667 52.584469697 2.306719697 
3 44 47.4521136364 9.7761818182 -5.6983863636 
4 22 15.6875 51.2046818182 59.1180454545 
5 22 56.7840454545 3.0245454545 32.9169090909 
6 22 59.5811363636 38.0392272727 21.7868636364 
7 22 56.5859545455 9.9690909091 30.6649090909 
8 22 52.6121818182 37.5699545455 39.8215909091 
9 22 56.3105 22.0459090909 10.9444090909 
10 22 19.1321818182 -0.1217272727 58.5783636364 
11 22 19.0344090909 53.7585 22.3229545455 
12 22 -4.0473181818 13.6553636364 -6.7811363636 
13 22 -6.4560909091 0.2932727273 10.2131818182 
14 22 12.5734090909 -3.2014545455 59.1732272727 
