# Cluster list (10 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 21780 20.668794674 20.5646887052 20.6035019284 
2 44 -0.8529090909 44.3805454545 5.5985 
3 22 -4.2277727273 21.3756818182 43.3400454545 
4 22 40.1362727273 3.696 -4.9762272727 
5 22 38.1582272727 -3.2525 -9.2189545455 
6 22 40.7727272727 42.4335 -3.7736818182 
7 22 -7.8203181818 12.6442272727 28.5409090909 
8 22 14.1874090909 33.9681818182 48.4375454545 
9 22 34.1595909091 -5.5910454545 0.3553636364 
10 22 32.6514545455 -6.9299090909 36.6535454545 
