# Cluster list (130 data points):
# "Cluster Identifier" "Cluster Size"
1 8320 
2 20 
3 10 
4 20 
5 10 
6 10 
7 20 
8 30 
9 10 
10 10 
11 10 
12 80 
13 10 
14 10 
15 10 
16 30 
17 20 
18 10 
19 10 
20 10 
21 10 
22 30 
23 10 
24 10 
25 10 
26 50 
27 10 
28 10 
29 10 
30 10 
31 20 
32 10 
33 20 
34 10 
35 20 
36 60 
37 10 
38 10 
39 10 
40 10 
41 10 
42 10 
43 10 
44 10 
45 10 
46 10 
47 10 
48 10 
49 10 
50 10 
51 10 
52 20 
53 10 
54 10 
55 20 
56 10 
57 10 
58 20 
59 10 
60 10 
61 10 
62 10 
63 20 
64 10 
65 10 
66 10 
67 30 
68 10 
69 10 
70 10 
71 20 
72 10 
73 10 
74 10 
75 10 
76 10 
77 10 
78 10 
79 10 
80 10 
81 10 
82 10 
83 10 
84 10 
85 10 
86 10 
87 20 
88 10 
89 10 
90 10 
91 10 
92 10 
93 10 
94 10 
95 10 
96 10 
97 10 
98 10 
99 10 
100 10 
101 10 
102 10 
103 10 
104 10 
105 10 
106 10 
107 10 
108 10 
109 20 
110 10 
111 10 
112 10 
113 10 
114 10 
115 10 
116 10 
117 10 
118 20 
119 10 
120 10 
121 10 
122 10 
123 10 
124 10 
125 10 
126 10 
127 10 
128 10 
129 10 
130 10 
