# Cluster list (92 data points):
# "Cluster Identifier" "Cluster Size"
1 22490 
2 26 
3 104 
4 78 
5 26 
6 26 
7 52 
8 26 
9 26 
10 26 
11 52 
12 26 
13 26 
14 26 
15 26 
16 26 
17 52 
18 78 
19 26 
20 26 
21 52 
22 26 
23 26 
24 26 
25 104 
26 52 
27 26 
28 26 
29 52 
30 26 
31 156 
32 26 
33 26 
34 26 
35 26 
36 26 
37 52 
38 26 
39 52 
40 26 
41 182 
42 26 
43 26 
44 26 
45 52 
46 26 
47 26 
48 52 
49 78 
50 52 
51 52 
52 78 
53 26 
54 78 
55 26 
56 26 
57 26 
58 26 
59 52 
60 26 
61 26 
62 26 
63 26 
64 26 
65 52 
66 52 
67 26 
68 26 
69 26 
70 26 
71 26 
72 26 
73 26 
74 26 
75 26 
76 26 
77 26 
78 26 
79 26 
80 26 
81 78 
82 26 
83 26 
84 26 
85 26 
86 26 
87 26 
88 26 
89 26 
90 26 
91 26 
92 26 
