# Radial distribution function (400 data points):
# "Pair separation distance" 0-0 0-1 1-1
0.00375 0.0 0.0 0.0 
0.01125 0.0 0.0 0.0 
0.01875 0.0 0.0 0.0 
0.02625 0.0 0.0 0.0 
0.03375 0.0 0.0 0.0 
0.04125 0.0 0.0 0.0 
0.04875 0.0 0.0 0.0 
0.05625 0.0 0.0 0.0 
0.06375 0.0 0.0 0.0 
0.07125 0.0 0.0 0.0 
0.07875 0.0 0.0 0.0 
0.08625 0.0 0.0 0.0 
0.09375 0.0 0.0 0.0 
0.10125 0.0 0.0 0.0 
0.10875 0.0 0.0 0.0 
0.11625 0.0 0.0 0.0 
0.12375 0.0 0.0 0.0 
0.13125 0.0 0.0 0.0 
0.13875 0.0 0.0 0.0 
0.14625 0.0 0.0 0.0 
0.15375 0.0 0.0 0.0 
0.16125 0.0 0.0 0.0 
0.16875 0.0 0.0 0.0 
0.17625 0.0 0.0 0.0 
0.18375 0.0 0.0 0.0 
0.19125 0.0 0.0 0.0 
0.19875 0.0 0.0 0.0 
0.20625 0.0 0.0 0.0 
0.21375 0.0 0.0 0.0 
0.22125 0.0 0.0 0.0 
0.22875 0.0 0.0 0.0 
0.23625 0.0 0.0 0.0 
0.24375 0.0 0.0 0.0 
0.25125 0.0 0.0 0.0 
0.25875 0.0 0.0 0.0 
0.26625 0.0 0.0 0.0 
0.27375 0.0 0.0 0.0 
0.28125 0.0 0.0 0.0 
0.28875 0.0 0.0 0.0 
0.29625 0.0 0.0 0.0 
0.30375 0.0 0.0 0.0 
0.31125 0.0 0.0 0.0 
0.31875 0.0 0.0 0.0 
0.32625 0.0 0.0 0.0 
0.33375 0.0 0.0 0.0 
0.34125 0.0 0.0 0.0 
0.34875 0.0 0.0 0.0 
0.35625 0.0 0.0 0.0 
0.36375 0.0 0.0 0.0 
0.37125 0.0 0.0 0.0 
0.37875 0.0 0.0 0.0 
0.38625 0.0 0.0 0.0 
0.39375 0.0 0.0 0.0 
0.40125 0.0 0.0 0.0 
0.40875 0.0 0.0 0.0 
0.41625 0.0 0.0 0.0 
0.42375 0.0 0.0 0.0 
0.43125 0.0 0.0 0.0 
0.43875 0.0 0.0 0.0 
0.44625 0.0 0.0 0.0 
0.45375 0.0 0.0 0.0 
0.46125 0.0 0.0 0.0 
0.46875 0.0 0.0 0.0 
0.47625 0.0 0.0 0.0 
0.48375 0.0 0.0 0.0 
0.49125 0.0 0.0 0.0 
0.49875 0.0 0.0 0.0 
0.50625 0.0 0.0 0.0 
0.51375 0.0 0.0 0.0 
0.52125 0.0 0.0 0.0 
0.52875 0.0 0.0 0.0 
0.53625 0.0 0.0 0.0 
0.54375 0.0 0.0 0.0 
0.55125 0.0 0.0 0.0 
0.55875 0.0 0.0 0.0 
0.56625 0.0 0.0 0.0 
0.57375 0.0 0.0 0.0 
0.58125 0.0 0.0 0.0 
0.58875 0.0 0.0 0.0 
0.59625 0.0 0.0 0.0 
0.60375 0.0 0.0 0.0 
0.61125 0.0 0.0 0.0 
0.61875 0.0 0.0 0.0 
0.62625 0.0 0.0 0.0 
0.63375 0.0 0.0 0.0 
0.64125 0.0 0.0 0.0 
0.64875 0.0 0.0 0.0 
0.65625 0.0 0.0 0.0 
0.66375 0.0 0.0 0.0 
0.67125 0.0 0.0 0.0 
0.67875 0.0 0.0 0.0 
0.68625 0.0 0.0 0.0 
0.69375 0.0 0.0 0.0 
0.70125 0.0 0.0 0.0 
0.70875 0.0 0.0 0.0 
0.71625 0.0 0.0 0.0 
0.72375 0.0 0.0 0.0 
0.73125 0.0 0.0 0.0 
0.73875 0.0 0.0 0.0 
0.74625 0.0 0.0 0.0 
0.75375 0.0 0.0 0.0 
0.76125 0.0 0.0 0.0 
0.76875 0.0 0.0 0.0 
0.77625 0.0 0.0 0.0 
0.78375 0.0 0.0 0.0 
0.79125 0.0 0.0 0.0 
0.79875 0.0 0.0 0.0 
0.80625 0.0 0.0 0.0 
0.81375 0.0 0.0 0.0 
0.82125 0.0 0.0 0.0 
0.82875 0.0 0.0 0.0 
0.83625 0.0 0.0 0.0 
0.84375 4.9556854537 0.0 0.0 
0.85125 7.7899933652 0.0 0.0 
0.85875 8.6113334974 0.0 0.0 
0.86625 32.9111453222 0.0 0.0 
0.87375 23.1061253274 0.0 0.0 
0.88125 37.2517890854 0.0 0.0 
0.88875 39.3056544431 0.0 0.0 
0.89625 57.9758632405 0.0 0.0 
0.90375 69.1122503124 0.0 0.0 
0.91125 84.9741102316 0.0 0.0 
0.91875 96.1313152846 0.0 0.0 
0.92625 123.3663183718 0.0 0.0 
0.93375 127.0574830461 0.0 0.0 
0.94125 151.3231888779 0.0 0.0 
0.94875 148.1563004035 0.0 0.0 
0.95625 154.3295298171 0.0 0.0 
0.96375 148.1384504241 0.0 0.0 
0.97125 170.5433483175 0.0 0.0 
0.97875 162.7836411073 0.0 0.0 
0.98625 160.3172698463 0.0 0.0 
0.99375 165.766130627 0.0 0.0 
1.00125 180.1843371566 0.0 0.0 
1.00875 176.8215708307 0.0 0.0 
1.01625 169.4387553089 0.0 0.0 
1.02375 167.6384880292 0.0 0.0 
1.03125 159.2375783702 0.0 0.0 
1.03875 149.7530519645 0.0 0.0 
1.04625 148.9029624329 0.0 0.0 
1.05375 151.2391084106 0.0 0.0 
1.06125 131.566778458 0.0 0.0 
1.06875 135.2864301682 0.0 0.0 
1.07625 124.8791501796 0.0 0.0 
1.08375 140.5788748965 0.0 0.0 
1.09125 133.3203530823 0.0 0.0 
1.09875 126.246238943 0.0 0.0793329449 
1.10625 119.9276335356 0.1062112139 0.2347826834 
1.11375 122.8685790895 0.0 0.2316312856 
1.12125 110.0053228566 0.0 1.0665336011 
1.12875 103.0101405553 0.1020190979 1.2779234367 
1.13625 110.3992594514 0.2013535217 2.2254862921 
1.14375 91.6957719575 0.1987214872 4.099938052 
1.15125 95.8287543068 0.490351813 5.7087274226 
1.15875 88.2861200836 0.7744396499 7.988956388 
1.16625 100.1236466311 0.4778194208 12.1114648975 
1.17375 82.9710309364 0.5660791584 13.1389952037 
1.18125 75.3468891753 1.3041319568 16.1986916735 
1.18875 80.3910193575 2.0235725696 21.0780740866 
1.19625 66.5660220223 2.2707707318 22.5547290788 
1.20375 66.2260821025 2.8704803388 28.421532302 
1.21125 60.5990390556 2.1262820721 30.2249131393 
1.21875 61.7556766151 2.1877010947 31.0146929926 
1.22625 61.4718185215 2.6796674607 31.2734025884 
1.23375 64.8987791202 3.4157252169 37.0606186028 
1.24125 58.6211434372 3.796393952 36.3032946805 
1.24875 55.6566373247 3.334158847 41.7033078943 
1.25625 60.8064471594 3.9533603416 38.4152185829 
1.26375 53.0178111907 3.8251885706 43.2978791391 
1.27125 48.4645235118 2.7346032707 42.8477620836 
1.27875 49.6237364874 4.1334187829 42.1709122793 
1.28625 38.810885026 4.3996144969 40.5227651028 
1.29375 43.4209621752 4.2710961772 36.5066325881 
1.30125 53.7565245393 3.454366632 39.2545335628 
1.30875 45.3150295214 3.111342936 34.3326108834 
1.31625 41.5419030987 3.3010593794 35.0480897742 
1.32375 37.0457916073 3.7829941658 34.3241328236 
1.33125 39.8147295234 4.1805466 28.4261728182 
1.33875 43.3068645507 2.6108444657 29.9254687301 
1.34625 37.7644651641 3.1555765791 29.0645211233 
1.35375 36.1921150248 2.4114567122 26.6006819365 
1.36125 34.6520289196 3.3669987614 25.0162100958 
1.36875 30.5070228891 1.8038590532 24.027110466 
1.37625 26.8226027527 3.2253787667 22.8557635337 
1.38375 29.4807016761 2.8510941753 20.2577744031 
1.39125 29.8928006535 2.6189777209 19.9904696215 
1.39875 31.7369795916 2.5909675324 17.5738229664 
1.40625 30.6857336378 1.9061211531 15.2558879952 
1.41375 26.8306687718 2.5362785923 16.1486672047 
1.42125 31.0893901815 2.187839995 13.418300403 
1.42875 30.0725273512 2.228605324 13.9346480256 
1.43625 30.4433959628 1.7643127169 12.7216232748 
1.44375 27.0812792762 1.9331044747 12.8654830911 
1.45125 26.4670671491 1.9748910864 11.4140909172 
1.45875 23.8744822257 1.8935535976 9.9467823954 
1.46625 23.6308671848 1.6928545205 9.4443462725 
1.47375 26.6397066935 1.4362871388 8.2901485731 
