# Cluster list (111 data points):
# "Cluster Identifier" "Cluster Size"
1 9534 
2 462 
3 966 
4 840 
5 84 
6 168 
7 4368 
8 126 
9 3024 
10 126 
11 1092 
12 336 
13 714 
14 546 
15 84 
16 168 
17 210 
18 4242 
19 210 
20 588 
21 2184 
22 126 
23 210 
24 168 
25 462 
26 42 
27 168 
28 630 
29 252 
30 546 
31 42 
32 252 
33 126 
34 84 
35 546 
36 252 
37 210 
38 252 
39 168 
40 84 
41 168 
42 126 
43 126 
44 42 
45 126 
46 210 
47 126 
48 126 
49 168 
50 168 
51 168 
52 84 
53 126 
54 126 
55 42 
56 42 
57 84 
58 210 
59 42 
60 168 
61 420 
62 42 
63 126 
64 168 
65 252 
66 210 
67 210 
68 42 
69 84 
70 168 
71 84 
72 42 
73 210 
74 42 
75 126 
76 84 
77 168 
78 126 
79 168 
80 168 
81 210 
82 84 
83 210 
84 42 
85 42 
86 84 
87 126 
88 42 
89 84 
90 84 
91 42 
92 42 
93 42 
94 42 
95 42 
96 42 
97 42 
98 42 
99 42 
100 42 
101 42 
102 42 
103 42 
104 42 
105 42 
106 42 
107 42 
108 42 
109 42 
110 42 
111 42 
