# Cluster list (17 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 17712 22.2156029246 21.9749131098 21.9665650971 
2 18 -5.4255555556 33.9333888889 7.2168888889 
3 18 52.0604444444 46.3864444444 31.4248333333 
4 18 16.5661111111 45.7668333333 46.9829444444 
5 18 56.2693888889 47.868 26.1541111111 
6 18 14.652 -2.9467777778 53.7208888889 
7 18 -4.9885 22.5656111111 22.7367777778 
8 18 -2.1016111111 2.8627222222 27.7858888889 
9 18 9.6986666667 45.5386666667 48.5178888889 
10 18 -0.5181111111 15.2415 35.0924444444 
11 18 0.3457222222 46.2902222222 45.7983888889 
12 18 54.6641666667 1.7510555556 25.6888888889 
13 18 32.239 48.9148333333 -5.615 
14 18 50.9241666667 36.8297777778 4.0618333333 
15 18 46.1276111111 35.8438888889 48.6252222222 
16 18 -10.2452777778 31.8499444444 18.4264444444 
17 18 54.9177777778 29.8528888889 -1.5397777778 
