# Cluster list (11 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 13832 15.8226867409 15.526034919 15.2587884615 
2 28 -6.24 25.8585714286 6.1107142857 
3 28 1.2356428571 -4.1985357143 29.3898214286 
4 14 28.4726428571 6.4341428571 -3.8293571429 
5 14 33.4958571429 39.7800714286 19.9822142857 
6 14 26.4072857143 26.8872142857 38.51 
7 14 33.4037142857 11.1984285714 -4.8348571429 
8 14 12.2479285714 39.3792857143 21.3934285714 
9 14 1.5095714286 3.5844285714 36.1598571429 
10 14 -7.9876428571 33.6917142857 24.8697142857 
11 14 -7.0945714286 19.4307142857 11.5075 
