# Cluster list (22 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 12824 20.0212862601 20.6865354803 19.8719416719 
2 448 27.7260200893 21.86753125 43.3478973214 
3 182 13.8151318681 3.0036208791 -6.7839395604 
4 126 37.9042777778 7.626952381 -3.9246666667 
5 126 43.3322698413 31.0098333333 38.1459047619 
6 42 -4.2035714286 47.906047619 40.0712619048 
7 28 43.9507857143 0.3723928571 11.8903214286 
8 28 51.2155357143 29.3873571429 20.2018928571 
9 14 47.1678571429 4.6377142857 6.1953571429 
10 14 48.2705 1.0350714286 43.58 
11 14 1.4767142857 -5.1307857143 15.5739285714 
12 14 4.5283571429 15.3122142857 47.5947857143 
13 14 20.3447142857 50.883 13.1685714286 
14 14 53.4167142857 7.7737857143 8.1314285714 
15 14 8.3758571429 12.4603571429 48.7095714286 
16 14 2.1919285714 -2.9446428571 42.4270714286 
17 14 10.6695714286 -5.0825 -9.6322857143 
18 14 15.2984285714 -11.2486428571 19.8497142857 
19 14 -13.7597142857 1.5985 18.9612142857 
20 14 19.9277857143 1.8334285714 43.6902142857 
21 14 40.7765 32.5071428571 -6.9182857143 
22 14 40.7372142857 -5.881 9.397 
