# Cluster list (116 data points):
# "Cluster Identifier" "Cluster Size"
1 11970 
2 180 
3 300 
4 90 
5 210 
6 180 
7 240 
8 120 
9 150 
10 180 
11 30 
12 60 
13 180 
14 120 
15 180 
16 150 
17 120 
18 330 
19 60 
20 480 
21 870 
22 960 
23 120 
24 210 
25 90 
26 1440 
27 540 
28 60 
29 210 
30 210 
31 150 
32 150 
33 1170 
34 180 
35 180 
36 60 
37 150 
38 60 
39 90 
40 540 
41 120 
42 30 
43 30 
44 60 
45 60 
46 570 
47 120 
48 150 
49 240 
50 120 
51 210 
52 30 
53 60 
54 60 
55 90 
56 60 
57 120 
58 480 
59 30 
60 120 
61 60 
62 180 
63 60 
64 210 
65 180 
66 210 
67 90 
68 90 
69 120 
70 60 
71 180 
72 60 
73 300 
74 90 
75 120 
76 30 
77 210 
78 60 
79 90 
80 120 
81 210 
82 60 
83 60 
84 120 
85 90 
86 120 
87 90 
88 30 
89 30 
90 30 
91 60 
92 60 
93 30 
94 30 
95 60 
96 120 
97 60 
98 30 
99 30 
100 120 
101 30 
102 30 
103 30 
104 30 
105 30 
106 30 
107 30 
108 30 
109 30 
110 30 
111 30 
112 30 
113 60 
114 30 
115 30 
116 30 
