# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.1671991516 0.0 
0.5015974549 0.4515232479 
0.8359957582 1.9962080433 
1.1703940615 1.5376197091 
1.5047923648 2.2280081577 
1.8391906681 2.7438720449 
2.1735889714 4.4050181429 
2.5079872747 4.2827915171 
2.842385578 4.748276736 
3.1767838813 4.4785774552 
3.5111821846 4.211034037 
3.8455804879 4.2752541281 
4.1799787912 3.9491436309 
4.5143770945 3.7442585968 
4.8487753978 3.4411652918 
5.1831737011 3.5245115661 
5.5175720044 3.0252610269 
5.8519703077 3.1193918399 
6.186368611 2.9483105165 
6.5207669143 2.8337931448 
6.8551652175 2.6744069299 
7.1895635208 2.643380514 
7.5239618241 2.5572445699 
7.8583601274 2.4262902832 
8.1927584307 2.1112033707 
8.527156734 2.1594891984 
8.8615550373 2.0056032639 
9.1959533406 2.1159306721 
9.5303516439 1.9376405936 
9.8647499472 1.852092679 
10.1991482505 1.7949302886 
10.5335465538 1.7549800139 
10.8679448571 1.7424038493 
11.2023431604 1.6530819949 
11.5367414637 1.7064569459 
11.871139767 1.5698822049 
12.2055380703 1.5957511633 
12.5399363736 1.5514891028 
12.8743346769 1.543728235 
13.2087329802 1.5604126429 
13.5431312835 1.5999209253 
13.8775295867 1.5598393604 
14.21192789 1.5234639352 
14.5463261933 1.5143566391 
14.8807244966 1.5348446375 
15.2151227999 1.5205377963 
15.5495211032 1.5552390089 
15.8839194065 1.5651560775 
16.2183177098 1.5698062756 
16.5527160131 1.5431395126 
16.8871143164 1.5619482162 
17.2215126197 1.5590802106 
17.555910923 1.5881670897 
17.8903092263 1.5525416813 
18.2247075296 1.5773164834 
18.5591058329 1.5510881403 
18.8935041362 1.505250364 
19.2279024395 1.5333308884 
19.5623007428 1.5173767042 
19.8966990461 1.4971560325 
