# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.199642494 0.0 
0.5989274821 0.0 
0.9982124702 0.0 
1.3974974583 0.2916531847 
1.7967824464 1.2825568329 
2.1960674345 2.2234549112 
2.5953524226 2.4853673952 
2.9946374107 2.8414613532 
3.3939223988 2.7226564009 
3.7932073868 2.687837007 
4.1924923749 2.5673850968 
4.591777363 2.2900652145 
4.9910623511 2.1743397878 
5.3903473392 1.8051039433 
5.7896323273 2.171914921 
6.1889173154 1.9644116206 
6.5882023035 1.9482218553 
6.9874872915 1.8758314056 
7.3867722796 1.9832842541 
7.7860572677 1.9151722057 
8.1853422558 1.7821258539 
8.5846272439 1.8828137103 
8.983912232 1.8186563304 
9.3831972201 1.7209210021 
9.7824822082 1.7406075826 
10.1817671963 1.9013141689 
10.5810521843 1.8399274062 
10.9803371724 1.759688012 
11.3796221605 1.817716207 
11.7789071486 1.6914153339 
12.1781921367 1.7659856356 
12.5774771248 1.7616753672 
12.9767621129 1.7307071797 
13.376047101 1.7659440087 
13.7753320891 1.6567509846 
14.1746170771 1.65178217 
14.5739020652 1.7447566209 
14.9731870533 1.656785723 
15.3724720414 1.6282603143 
15.7717570295 1.6517564098 
16.1710420176 1.4823876157 
16.5703270057 1.5057929184 
16.9696119938 1.4855529074 
17.3688969819 1.47791668 
17.7681819699 1.4626473489 
18.167466958 1.3664874421 
18.5667519461 1.4114854183 
18.9660369342 1.3478996019 
19.3653219223 1.3869334316 
19.7646069104 1.3399045629 
20.1638918985 1.2880713666 
20.5631768866 1.2822733679 
20.9624618746 1.2733682447 
21.3617468627 1.2570007718 
21.7610318508 1.2312781839 
22.1603168389 1.2369380511 
22.559601827 1.2152317543 
22.9588868151 1.1409655477 
23.3581718032 1.1674578429 
23.7574567913 1.1442945838 
