# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.113100734 0.0 
0.3393022021 0.0 
0.5655036701 0.6367324804 
0.7917051382 0.7006515711 
1.0179066062 0.4249853792 
1.2441080743 0.6457287007 
1.4703095423 0.9253749884 
1.6965110104 0.8487972288 
1.9227124784 1.3459828799 
2.1489139465 1.5241972554 
2.3751154145 1.4672053142 
2.6013168826 1.7065072019 
2.8275183506 1.5882431563 
3.0537198187 1.6176896238 
3.2799212867 1.635149768 
3.5061227548 1.5508920907 
3.7323242228 1.4828886006 
3.9585256909 1.5458554141 
4.1847271589 1.4623855869 
4.410928627 1.3829220405 
4.637130095 1.3856343283 
4.8633315631 1.4977542886 
5.0895330311 1.3778404629 
5.3157344992 1.4299719271 
5.5419359672 1.3501839771 
5.7681374353 1.3367325874 
5.9943389033 1.4083750565 
6.2205403714 1.4083642114 
6.4467418394 1.2368115054 
6.6729433075 1.2722107961 
6.8991447755 1.3393967727 
7.1253462436 1.3050586738 
7.3515477116 1.2788899457 
7.5777491797 1.2375611267 
7.8039506477 1.2447830881 
8.0301521158 1.1806748004 
8.2563535838 1.2050786317 
8.4825550519 1.2104881019 
8.7087565199 1.1705781229 
8.934957988 1.146029077 
9.161159456 1.1431683529 
9.3873609241 1.0987767913 
9.6135623921 1.0955196092 
9.8397638602 1.1038789981 
10.0659653282 1.0449351558 
10.2921667963 1.0184321984 
10.5183682643 1.018527983 
10.7445697324 1.0141385483 
10.9707712004 0.9720162975 
11.1969726685 0.9728740711 
11.4231741365 0.9265951427 
11.6493756046 0.9276684331 
11.8755770726 0.9344675894 
12.1017785407 0.9048933672 
12.3279800087 0.8661733955 
12.5541814768 0.8919097621 
12.7803829448 0.8694605338 
13.0065844129 0.8403533523 
13.2327858809 0.8246628729 
13.4589873489 0.8197951026 
