# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.3664024727 0.0 
1.099207418 0.0 
1.8320123634 0.0 
2.5648173088 0.3016763334 
3.2976222541 0.5489520166 
4.0304271995 0.665866444 
4.7632321448 1.1551251283 
5.4960370902 1.2832082078 
6.2288420356 1.5431370052 
6.9616469809 1.4357058188 
7.6944519263 1.4982259685 
8.4272568716 1.4178462005 
9.160061817 1.5809751194 
9.8928667624 1.46922441 
10.6256717077 1.5162360431 
11.3584766531 1.3667784903 
12.0912815984 1.4716150289 
12.8240865438 1.4887326102 
13.5568914892 1.40670386 
14.2896964345 1.3500082021 
15.0225013799 1.3429330289 
15.7553063252 1.2761197873 
16.4881112706 1.3006440472 
17.220916216 1.197134087 
17.9537211613 1.290888513 
18.6865261067 1.2839965025 
19.419331052 1.2487178898 
20.1521359974 1.2136760077 
20.8849409428 1.2307736549 
21.6177458881 1.1908927864 
22.3505508335 1.1477968416 
23.0833557788 1.1392881504 
23.8161607242 1.1296373186 
24.5489656695 1.1299838801 
25.2817706149 1.1136571868 
26.0145755603 1.0884945334 
26.7473805056 1.0871194939 
27.480185451 1.0892545336 
28.2129903963 1.0710580711 
28.9457953417 1.0229669816 
29.6786002871 1.0171450168 
30.4114052324 0.9736566337 
31.1442101778 0.947211039 
31.8770151231 0.972137352 
32.6098200685 0.9447742243 
33.3426250139 0.9460648086 
34.0754299592 0.8999134775 
34.8082349046 0.9142480732 
35.5410398499 0.8875570679 
36.2738447953 0.8544457288 
37.0066497407 0.8630420446 
37.739454686 0.8414754339 
38.4722596314 0.8380726253 
39.2050645767 0.8085220843 
39.9378695221 0.800955816 
40.6706744675 0.7675218244 
41.4034794128 0.755412587 
42.1362843582 0.7460855062 
42.8690893035 0.7321346161 
43.6018942489 0.7234965134 
