# Cluster list (15 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 41328 37.4927623887 36.2049585269 37.9773075881 
2 84 80.2533809524 -1.5718214286 18.8383333333 
3 84 4.9439404762 72.691202381 67.0568690476 
4 42 14.4535714286 69.1067857143 83.140047619 
5 42 67.4608809524 81.4396666667 40.7685952381 
6 42 77.2755 1.5899047619 58.4201428571 
7 42 -4.5334285714 35.1577142857 -4.578047619 
8 42 -10.5542380952 52.6310952381 19.3653571429 
9 42 -3.7985238095 69.528047619 15.6846428571 
10 42 -8.0834761905 27.3131428571 76.2897380952 
11 42 29.4389285714 43.3463333333 -6.7629761905 
12 42 8.3475952381 86.8185238095 73.0413571429 
13 42 9.6061666667 25.019047619 84.9172619048 
14 42 76.9005238095 54.4138095238 -0.7330952381 
15 42 -0.728547619 -0.9669047619 36.652047619 
