# Cluster list (93 data points):
# "Cluster Identifier" "Cluster Size"
1 13500 
2 108 
3 234 
4 18 
5 180 
6 234 
7 72 
8 72 
9 162 
10 180 
11 36 
12 72 
13 72 
14 216 
15 18 
16 36 
17 36 
18 252 
19 36 
20 18 
21 54 
22 72 
23 36 
24 18 
25 18 
26 90 
27 90 
28 108 
29 144 
30 36 
31 18 
32 36 
33 18 
34 18 
35 36 
36 18 
37 18 
38 72 
39 18 
40 18 
41 18 
42 90 
43 90 
44 18 
45 18 
46 54 
47 54 
48 18 
49 54 
50 126 
51 18 
52 18 
53 18 
54 36 
55 18 
56 54 
57 18 
58 18 
59 18 
60 18 
61 18 
62 18 
63 18 
64 18 
65 36 
66 18 
67 36 
68 18 
69 18 
70 18 
71 18 
72 18 
73 18 
74 36 
75 36 
76 18 
77 18 
78 18 
79 72 
80 18 
81 36 
82 18 
83 18 
84 18 
85 18 
86 18 
87 18 
88 18 
89 18 
90 18 
91 18 
92 18 
93 18 
