# Radial distribution function (180 data points):
# "Pair separation distance" 0-0 0-1 1-1
0.0080555556 0.0 0.0 0.0 
0.0241666667 0.0 0.0 0.0 
0.0402777778 0.0 0.0 0.0 
0.0563888889 0.0 0.0 0.0 
0.0725 0.0 0.0 0.0 
0.0886111111 0.0 0.0 0.0 
0.1047222222 0.0 0.0 0.0 
0.1208333333 0.0 0.0 0.0 
0.1369444444 0.0 0.0 0.0 
0.1530555556 0.0 0.0 0.0 
0.1691666667 0.0 0.0 0.0 
0.1852777778 0.0 0.0 0.0 
0.2013888889 0.0 0.0 0.0 
0.2175 0.0 0.0 0.0 
0.2336111111 0.0 0.0 0.0 
0.2497222222 0.0 0.0 0.0 
0.2658333333 0.0 0.0 0.0 
0.2819444444 0.0 0.0 0.0 
0.2980555556 0.0 0.0 0.0 
0.3141666667 0.0 0.0 0.0 
0.3302777778 0.0 0.0 0.0 
0.3463888889 0.0 0.0 0.0 
0.3625 0.0 0.0 0.0 
0.3786111111 0.0 0.0 0.0 
0.3947222222 0.0 0.0 0.0 
0.4108333333 0.0 0.0 0.0 
0.4269444444 0.0 0.0 0.0 
0.4430555556 0.0 0.0 0.0 
0.4591666667 0.0 0.0 0.0 
0.4752777778 0.0 0.0 0.0 
0.4913888889 0.0 0.0 0.0 
0.5075 0.0 0.0 0.0 
0.5236111111 0.0 0.0 0.0 
0.5397222222 0.0 0.0 0.0 
0.5558333333 0.0 0.0 0.0 
0.5719444444 0.0 0.0 0.0 
0.5880555556 0.0 0.0 0.0 
0.6041666667 0.0 0.0 0.0 
0.6202777778 0.0 0.0 0.0 
0.6363888889 0.0 0.0 0.0 
0.6525 0.0 0.0 0.0 
0.6686111111 0.0 0.0 0.0 
0.6847222222 0.0 0.0 0.0 
0.7008333333 0.0 0.0 0.0 
0.7169444444 0.0 0.0 0.0 
0.7330555556 0.0 0.0 0.0 
0.7491666667 0.0 0.0 0.0 
0.7652777778 0.0 0.0 0.0 
0.7813888889 0.0 0.0 0.0 
0.7975 0.0 0.0 0.0 
0.8136111111 0.0 0.0 0.0 
0.8297222222 0.0 0.0 0.0 
0.8458333333 0.0 0.0 0.0 
0.8619444444 0.0 0.0 0.0 
0.8780555556 0.0 0.0 0.0 
0.8941666667 0.0 0.0 0.0 
0.9102777778 0.1962264854 0.0 0.0 
0.9263888889 0.947303685 0.0 0.0 
0.9425 2.74558447 0.0 0.0 
0.9586111111 7.3134472659 0.0 0.0 
0.9747222222 14.0332762154 0.0 0.0 
0.9908333333 24.8978212646 0.0 0.0 
1.0069444444 32.2858513059 0.0 0.0 
1.0230555556 44.3263470014 0.0 0.0 
1.0391666667 48.53364943 0.0501899167 0.0 
1.0552777778 53.3900337229 0.2433456414 0.0 
1.0713888889 55.6681685953 0.3305149959 0.0 
1.0875 59.6219822566 0.6645032611 0.0458278111 
1.1036111111 55.9359508461 1.0012401703 0.2224978156 
1.1197222222 58.0987475342 1.232004691 0.389054113 
1.1358333333 53.3114763773 1.6804247873 0.9662442527 
1.1519444444 50.0744180223 1.8379680351 2.9815925902 
1.1680555556 46.9944368162 1.7876159398 5.7998206045 
1.1841666667 45.1446269453 1.7586305873 10.4358298589 
1.2002777778 38.4858577948 1.7869777568 13.2048251085 
1.2163888889 36.8137800034 1.9597385375 16.9599802404 
1.2325 31.2906901536 1.3201317397 21.4075417243 
1.2486111111 30.0712360745 1.6686928689 21.8668294692 
1.2647222222 26.7686523811 1.4739700995 23.2785622605 
1.2808333333 26.0333967549 1.5857906653 23.093076563 
1.2969444444 22.555128083 1.4821941312 21.3629284558 
1.3130555556 20.8419075681 1.493198506 20.8419075681 
1.3291666667 21.0146402767 1.3498455068 17.7934180445 
1.3452777778 19.0468682247 1.2428380996 15.6328069391 
1.3613888889 20.7334871487 1.3159477034 13.5396397036 
1.3775 16.9379995259 1.0711213865 12.9105831125 
1.3936111111 15.5160918897 1.0604523234 9.3208177899 
1.4097222222 15.3543757717 1.0499883965 9.7362560399 
1.4258333333 15.6225188387 1.0530537442 7.3847060039 
1.4419444444 13.294260686 1.3163924797 6.8556677655 
1.4580555556 14.480760199 0.9815304008 5.7617109243 
1.4741666667 13.7170518991 0.9103134442 5.4369405709 
1.4902777778 13.129227798 0.7077093051 4.5146972911 
1.5063888889 13.1126233347 0.7404213541 4.609720043 
1.5225 12.7664331734 0.9937241939 4.4191499446 
1.5386111111 12.5004755363 0.9272330755 3.8234055212 
1.5547222222 12.4445464545 0.8632703396 3.7221526332 
1.5708333333 13.288835927 0.9994083218 3.4045777995 
1.5869444444 12.2240958824 0.7747666404 3.2281943352 
1.6030555556 13.2450752451 0.9174534605 2.9527237808 
1.6191666667 12.9001121565 0.8476035231 3.4110873491 
1.6352777778 12.8093202594 1.0437974578 3.3036696239 
1.6513888889 12.4612316224 0.9738442576 2.9612815179 
1.6675 12.9233186703 1.1110545463 2.494999683 
1.6836111111 12.7345304832 0.9560458321 3.1931930791 
1.6997222222 12.456743208 0.928627694 2.4951006727 
1.7158333333 13.9728170487 1.0677515004 2.8166548201 
1.7319444444 13.1900791936 1.1021846997 3.0174564731 
1.7480555556 13.9236054823 0.9844077761 3.0330401751 
1.7641666667 13.8271874001 1.0013391379 3.0127247106 
1.7802777778 13.7148622962 1.1030032645 2.907140387 
1.7963888889 15.8045298398 1.2680573888 2.7040693987 
