# Cluster list (75 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 9090 17.3234183718 16.2409821782 16.8740581958 
2 110 6.5933181818 38.7069727273 30.3293636364 
3 20 39.4521 1.5195 5.0996 
4 20 12.55235 20.48255 48.41915 
5 20 5.6842 42.40105 19.09675 
6 20 1.85595 14.01505 -8.28645 
7 20 -5.31435 2.5388 -7.8069 
8 20 33.49155 39.48955 -1.2365 
9 20 5.3804 -2.4112 -8.50375 
10 10 -12.953 16.4094 -6.9498 
11 10 13.8407 47.7116 0.9015 
12 10 40.8756 9.5991 -8.7349 
13 10 26.046 12.8854 36.7328 
14 10 31.5845 54.0371 33.7061 
15 10 -7.8478 31.9907 28.302 
16 10 38.4213 -7.0515 12.7879 
17 10 -5.8598 24.7444 -1.4163 
18 10 -11.6106 18.9468 37.5565 
19 10 35.954 -10.6784 19.4781 
20 10 3.5325 20.9777 41.8961 
21 10 -7.3368 20.2577 15.0824 
22 10 -8.392 32.5045 20.9692 
23 10 -12.6035 25.6304 12.8959 
24 10 -1.887 30.5456 -5.3021 
25 10 13.6531 -5.9717 -7.5539 
26 10 12.9735 40.9433 -9.3039 
27 10 -6.8903 31.5045 7.0142 
28 10 -10.0427 33.4664 -4.1485 
29 10 27.2398 -6.702 1.2002 
30 10 23.9129 20.2284 43.857 
31 10 39.2615 0.4856 31.0863 
32 10 -10.1057 9.0953 19.214 
33 10 -1.8585 -3.101 -13.4119 
34 10 -11.6076 13.2693 32.6823 
35 10 39.2696 24.5882 42.4455 
36 10 -5.9785 3.1261 36.7332 
37 10 37.7266 13.3303 -1.0376 
38 10 41.6667 29.3124 29.4764 
39 10 20.5987 46.3968 10.2165 
40 10 40.8317 8.27 4.4188 
41 10 0.3864 19.2212 -11.3913 
42 10 37.9661 -9.407 5.5079 
43 10 4.3409 2.8048 43.9683 
44 10 20.6555 42.6413 13.6807 
45 10 8.2774 6.2252 -16.1525 
46 10 18.3227 49.5191 13.7142 
47 10 -4.8103 -1.0868 20.0227 
48 10 17.4875 -16.0723 26.1669 
49 10 22.4068 38.7252 -4.4773 
50 10 27.1652 44.5743 7.6745 
51 10 9.3408 -12.6326 -3.9232 
52 10 26.114 46.4063 27.1212 
53 10 5.0477 43.185 44.5971 
54 10 24.3906 36.6309 -7.3758 
55 10 20.7281 32.8972 -6.6146 
56 10 38.9034 -9.929 -0.6572 
57 10 54.5317 15.8718 35.3473 
58 10 47.1144 16.0941 14.4504 
59 10 4.938 30.2289 -9.4631 
60 10 22.3785 -16.1742 20.9058 
61 10 28.7053 32.8517 42.3102 
62 10 8.123 44.872 13.3204 
63 10 42.3231 11.997 42.9682 
64 10 45.7026 21.9103 18.3793 
65 10 13.0174 30.0598 -17.1457 
66 10 18.8076 6.4752 -15.3779 
67 10 21.4806 16.9658 -13.2179 
68 10 -11.8999 28.1048 36.7988 
69 10 46.1352 9.479 8.9362 
70 10 -6.9129 40.941 1.5655 
71 10 33.7015 40.3319 41.0382 
72 10 20.1943 -0.3897 44.0737 
73 10 25.773 45.1857 33.1541 
74 10 22.816 -14.0224 33.013 
75 10 31.4092 15.5635 -14.0841 
