# Cluster list (18 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 9800 15.3406706122 14.8397638776 14.8126904082 
2 20 32.8665 -2.5773 1.2495 
3 20 30.6281 38.35185 26.0262 
4 20 18.39025 37.9868 0.37155 
5 10 -0.4329 34.6615 -0.5817 
6 10 -2.5159 3.7011 23.4254 
7 10 -7.319 10.3726 34.0983 
8 10 4.2754 32.1467 38.9997 
9 10 -12.5548 0.5407 13.4826 
10 10 6.2488 -0.5513 -9.7663 
11 10 4.8416 36.0842 -4.2387 
12 10 14.2217 32.3861 1.6824 
13 10 42.083 25.2452 15.5819 
14 10 19.617 -6.8326 40.9401 
15 10 -11.0189 19.2828 27.9856 
16 10 12.6225 23.043 39.2384 
17 10 37.342 8.5161 2.7489 
18 10 9.5395 17.097 41.7896 
