# Cluster list (19 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 9740 14.8121557495 14.2183227926 14.2380306982 
2 60 -1.1090666667 30.5582 2.5347 
3 20 -3.6237 13.1405 -1.3184 
4 20 14.64455 21.93895 34.9619 
5 20 31.8306 22.35695 -0.4843 
6 10 -6.0604 3.3446 -6.2107 
7 10 38.6635 17.927 7.0411 
8 10 31.0347 -0.6455 30.5111 
9 10 -4.927 19.6054 -9.0199 
10 10 9.1802 26.1796 38.6772 
11 10 1.6553 20.006 -6.355 
12 10 -6.8468 8.9403 28.0081 
13 10 10.631 -4.3879 35.1676 
14 10 -7.3514 29.6522 29.1728 
15 10 18.457 -1.4575 39.7277 
16 10 28.6863 -9.1921 8.1899 
17 10 3.4084 23.1169 -4.0114 
18 10 24.2084 -7.9573 24.5207 
19 10 5.2726 8.0163 -10.8941 
