# Cluster list (94 data points):
# "Cluster Identifier" "Cluster Size"
1 532 
2 70 
3 126 
4 644 
5 28 
6 1554 
7 70 
8 1050 
9 252 
10 364 
11 70 
12 42 
13 42 
14 84 
15 854 
16 882 
17 154 
18 84 
19 1022 
20 210 
21 210 
22 308 
23 504 
24 504 
25 70 
26 28 
27 294 
28 308 
29 14 
30 42 
31 70 
32 280 
33 154 
34 336 
35 140 
36 14 
37 42 
38 14 
39 28 
40 98 
41 28 
42 112 
43 42 
44 28 
45 14 
46 56 
47 98 
48 98 
49 182 
50 182 
51 42 
52 70 
53 112 
54 14 
55 98 
56 56 
57 112 
58 28 
59 14 
60 42 
61 140 
62 28 
63 14 
64 56 
65 14 
66 98 
67 28 
68 28 
69 14 
70 28 
71 28 
72 14 
73 70 
74 14 
75 14 
76 14 
77 14 
78 28 
79 14 
80 28 
81 28 
82 28 
83 56 
84 28 
85 14 
86 28 
87 14 
88 14 
89 14 
90 14 
91 14 
92 14 
93 14 
94 14 
