Step,Total,Kinetic,Bonded,Non-Bonded,Pressure
0,51639.003072251166,45034.93769418911,29030.456678815546,-22426.391300753494,0.014537786929324975
2,51321.56199994612,45111.05164587824,28756.396407317035,-22545.88605324915,0.010592822265000579
4,51431.385197333395,45144.136895125026,28907.020791702365,-22619.772489493986,0.015175482900249837
6,51767.047776827676,45578.559417191325,29145.591964104064,-22957.10360446772,0.00938588692940262
8,51047.882406175835,45116.40545224078,29055.55262768053,-23124.07567374548,0.009848357171642008
10,50760.29938381374,45032.48329086107,29070.774348135783,-23342.958255183104,0.006605652789770156
12,51064.74520096059,45242.35401802843,28896.48705228198,-23074.09586934983,0.01278911070298619
14,50443.672272538584,44873.00425230559,28839.531684547244,-23268.86366431424,0.010538467711857569
16,50718.045539924184,45263.44934503652,28661.03729069713,-23206.441095809478,0.01575801163795812
18,50667.73008672931,45227.84768943351,28765.118516155966,-23325.236118860168,0.012449740803923165
20,50186.343367360474,44830.17828603461,29022.627162607427,-23666.462081281552,0.006462449297852113
22,50237.06604702682,45140.91359888371,28812.70726512609,-23716.554816982985,0.012555731712888485
24,50116.670618532764,45107.18976552095,28805.626580315155,-23796.145727303337,0.015749744205118793
26,49879.637224278245,45192.26682633731,28909.061344458445,-24221.690946517505,0.008902684970331615
28,49365.81373817102,44738.60140386798,29041.349295843163,-24414.136961540124,0.010474169715226855
30,49113.9829222345,44977.02937585183,28774.45484673381,-24637.50130035114,0.011414831221181782
32,49132.28697616972,45293.80781651798,28687.46253057851,-24848.983370926762,0.011431097604474472
34,48712.801975013535,44858.62703086772,28922.348983148553,-25068.174039002726,0.009271940488021213
36,48844.39544391354,45158.963849222586,28737.510349044307,-25052.078754353344,0.01360513549620046
38,49087.85665222267,44904.02453198148,29022.553393107504,-24838.72127286632,0.009462757938763194
40,49175.80869133164,45314.59514467948,29083.230115942923,-25222.01656929076,0.0027609584684771538
42,49062.86872927284,45167.76481680903,28941.059006027142,-25045.955093563327,0.007945600073084758
44,48861.15819913483,44891.87932022411,29122.607035037403,-25153.328156126685,0.005690678716615938
46,48373.88759358732,44810.12290492639,29084.54350238423,-25520.778813723293,0.004020722532536103
48,48381.53595341184,45296.64915526436,28788.95073297937,-25704.063934831895,0.009390068976453364
50,48162.21849485491,45015.204910024186,28925.931036144244,-25778.91745131352,0.010067614844309736
52,47894.92800660526,45095.45904922274,28712.181076076482,-25912.712118693962,0.010053644917708271
54,47950.2617876179,44965.58734959762,29053.53081973915,-26068.856381718862,0.005235044865469107
56,48590.637751438655,45380.54362141769,29153.36172045771,-25943.267590436735,0.004197989032858923
58,47592.93097386636,44946.369191068196,29092.817530793393,-26446.255747995234,0.0031832678665758007
60,47800.29105359363,44821.16578165494,29040.65374624013,-26061.528474301438,0.008547464063538152
62,47387.78669042003,44949.622782317536,28791.410969591045,-26353.247061488542,0.00870244256250366
64,47721.725352429625,45210.84480068352,28967.423493421367,-26456.54294167526,0.006973356814383269
66,46992.566719598435,45347.343025942406,28762.657817688363,-27117.434124032334,0.003662663815179684
68,47227.307647050446,44991.64076978438,28970.9677922315,-26735.300914965435,0.008859935375244044
