Step,Total,Kinetic,Bonded,Non-Bonded,Pressure
0,71178.44776771654,39257.5165328619,21170.41931127355,10750.5119235811,14.399727550030441
2,70127.1635276059,38951.14886463942,20953.212743021115,10222.80191994536,14.32859002447288
4,69768.72009825078,39076.6224601329,20883.900479531378,9808.1971585865,14.279683341469322
6,69185.13783757569,39261.46466988302,20557.581961653363,9366.091206039302,14.25628500282102
8,68154.25900942343,39164.70842260765,20469.89423552572,8519.656351290065,14.108922794677705
10,67673.84569882654,39472.52408294106,20333.777918789343,7867.543697096131,14.041664548664698
12,66439.0680039495,38865.29479449515,20015.10001430251,7558.673195151852,13.983369777811005
14,65661.8417994887,39083.63930339492,19733.96284513301,6844.239650960757,13.913545893848413
16,65363.47649974302,39011.74801228014,19484.801624555468,6866.926862907407,13.952901248974609
18,64522.20116372928,38977.60162064102,19407.044120173072,6137.555422915189,13.827559991603117
20,64115.37083971626,39177.86316825777,19286.66902879976,5650.838642658731,13.791250133536426
22,63447.480635735854,38982.26977344967,19269.90863279685,5195.302229489338,13.724363583488245
24,63170.199956572644,39189.57561886578,18999.168909551056,4981.4554281558085,13.701664313560737
26,63186.47886301737,39283.40534677393,18947.531102673853,4955.542413569594,13.693185608610449
28,62270.13218943686,38960.34015677858,18885.762863031818,4424.029169626461,13.60872738358718
30,61717.55351123674,39135.69468315501,18604.057752742683,3977.801075339048,13.551199098708642
32,61536.221561798746,39237.922567457696,18587.356534090268,3710.942460250786,13.537450042973587
34,60975.57037863525,38908.29984252722,18592.184987947512,3475.085548160514,13.502526662430697
36,60751.3992485153,38893.25076481386,18421.57184981916,3436.5766338822723,13.504634516322705
38,60442.706953686924,39158.324434054724,18403.15887661375,2881.2236430184457,13.420664460984028
40,60418.130079576615,39114.80148559798,18407.319761011495,2896.008832967138,13.425349253573282
42,60113.52544225767,39085.41151131182,18333.38230409298,2694.7316268528702,13.38874355604743
44,60154.141684094866,39555.03578970668,18418.61659762055,2180.489296767646,13.308973143703309
46,59594.32468469214,39200.821914939464,18273.963692095855,2119.539077656824,13.322388194503258
48,59273.592962277646,39213.44149776316,17942.771097591365,2117.38036692312,13.341891303337725
50,58996.61218239925,39036.866100907384,17887.177737128357,2072.5683443635135,13.362454560566842
52,58510.243794997674,39029.4801936793,18176.868685571855,1303.8949157465177,13.199039329192848
54,58921.376321257834,39422.791720325484,17861.9866996229,1636.5979013094511,13.332401704434265
56,58471.5022415041,39225.14204590127,17872.848755765343,1373.5114398374863,13.255203738472577
58,57779.77010918948,38946.1103797114,17881.68481895448,951.9749105236042,13.175652196102241
60,57806.73852202958,39028.63247759823,17887.974184008635,890.1318604227126,13.168831656452138
62,57832.49667836118,39021.929217333025,17844.368755264546,966.198705763607,13.179859262938635
64,57240.211265754006,39046.29864259523,17786.214455855745,407.69816730303137,13.091129050554944
66,56878.03525340112,38899.33962623677,17691.912244639832,286.7833825245143,13.10681980763233
68,57207.16399138537,39273.00267142311,17940.87695270762,-6.715632745355833,13.047940632452319
70,57137.05516433676,39183.91316631889,17768.462512263322,184.67948575454648,13.077516133365958
72,56862.39801127091,39144.08048937647,17670.498499817542,47.819022076895635,13.058115857807048
74,56361.4178134188,38977.58969088562,17458.961585299203,-75.13346276602533,13.073563694833174
76,56505.26294669081,39086.75433029857,17705.1524421918,-286.64382579956145,13.034525061733927
78,56051.617123494994,39168.35628083675,17677.853964975253,-794.5931223170119,12.95720386108024
80,55599.27852060833,38900.38450297125,17581.319869882613,-882.4258522455275,12.927204096735949
82,55229.08736736761,38860.45823529558,17644.03105508423,-1275.4019230121885,12.881953882960476
84,55265.17574603092,39260.07800520646,17630.92916577219,-1625.8314249477262,12.836261608960807
86,55160.888519623695,38882.84953278651,17434.590387819106,-1156.5514009819126,12.891786723401413
