# Cluster list (123 data points):
# "Cluster Identifier" "Cluster Size"
1 18304 
2 66 
3 22 
4 22 
5 22 
6 22 
7 132 
8 44 
9 22 
10 44 
11 44 
12 22 
13 110 
14 44 
15 22 
16 22 
17 22 
18 44 
19 88 
20 22 
21 22 
22 22 
23 22 
24 198 
25 66 
26 44 
27 22 
28 44 
29 22 
30 44 
31 22 
32 22 
33 22 
34 22 
35 22 
36 22 
37 22 
38 22 
39 44 
40 22 
41 110 
42 22 
43 22 
44 22 
45 22 
46 22 
47 44 
48 22 
49 22 
50 22 
51 22 
52 22 
53 44 
54 22 
55 22 
56 22 
57 22 
58 44 
59 22 
60 22 
61 22 
62 22 
63 44 
64 22 
65 66 
66 22 
67 22 
68 22 
69 22 
70 22 
71 22 
72 22 
73 22 
74 22 
75 22 
76 22 
77 22 
78 22 
79 22 
80 22 
81 22 
82 22 
83 22 
84 22 
85 44 
86 22 
87 22 
88 44 
89 22 
90 22 
91 44 
92 22 
93 22 
94 22 
95 22 
96 22 
97 22 
98 22 
99 22 
100 22 
101 22 
102 22 
103 22 
104 22 
105 22 
106 22 
107 22 
108 22 
109 22 
110 22 
111 22 
112 22 
113 22 
114 22 
115 22 
116 22 
117 22 
118 22 
119 22 
120 22 
121 22 
122 22 
123 22 
