# Radial distribution function (400 data points):
# "Pair separation distance" 0-0 0-1 1-1
0.00375 0.0 0.0 0.0 
0.01125 0.0 0.0 0.0 
0.01875 0.0 0.0 0.0 
0.02625 0.0 0.0 0.0 
0.03375 0.0 0.0 0.0 
0.04125 0.0 0.0 0.0 
0.04875 0.0 0.0 0.0 
0.05625 0.0 0.0 0.0 
0.06375 0.0 0.0 0.0 
0.07125 0.0 0.0 0.0 
0.07875 0.0 0.0 0.0 
0.08625 0.0 0.0 0.0 
0.09375 0.0 0.0 0.0 
0.10125 0.0 0.0 0.0 
0.10875 0.0 0.0 0.0 
0.11625 0.0 0.0 0.0 
0.12375 0.0 0.0 0.0 
0.13125 0.0 0.0 0.0 
0.13875 0.0 0.0 0.0 
0.14625 0.0 0.0 0.0 
0.15375 0.0 0.0 0.0 
0.16125 0.0 0.0 0.0 
0.16875 0.0 0.0 0.0 
0.17625 0.0 0.0 0.0 
0.18375 0.0 0.0 0.0 
0.19125 0.0 0.0 0.0 
0.19875 0.0 0.0 0.0 
0.20625 0.0 0.0 0.0 
0.21375 0.0 0.0 0.0 
0.22125 0.0 0.0 0.0 
0.22875 0.0 0.0 0.0 
0.23625 0.0 0.0 0.0 
0.24375 0.0 0.0 0.0 
0.25125 0.0 0.0 0.0 
0.25875 0.0 0.0 0.0 
0.26625 0.0 0.0 0.0 
0.27375 0.0 0.0 0.0 
0.28125 0.0 0.0 0.0 
0.28875 0.0 0.0 0.0 
0.29625 0.0 0.0 0.0 
0.30375 0.0 0.0 0.0 
0.31125 0.0 0.0 0.0 
0.31875 0.0 0.0 0.0 
0.32625 0.0 0.0 0.0 
0.33375 0.0 0.0 0.0 
0.34125 0.0 0.0 0.0 
0.34875 0.0 0.0 0.0 
0.35625 0.0 0.0 0.0 
0.36375 0.0 0.0 0.0 
0.37125 0.0 0.0 0.0 
0.37875 0.0 0.0 0.0 
0.38625 0.0 0.0 0.0 
0.39375 0.0 0.0 0.0 
0.40125 0.0 0.0 0.0 
0.40875 0.0 0.0 0.0 
0.41625 0.0 0.0 0.0 
0.42375 0.0 0.0 0.0 
0.43125 0.0 0.0 0.0 
0.43875 0.0 0.0 0.0 
0.44625 0.0 0.0 0.0 
0.45375 0.0 0.0 0.0 
0.46125 0.0 0.0 0.0 
0.46875 0.0 0.0 0.0 
0.47625 0.0 0.0 0.0 
0.48375 0.0 0.0 0.0 
0.49125 0.0 0.0 0.0 
0.49875 0.0 0.0 0.0 
0.50625 0.0 0.0 0.0 
0.51375 0.0 0.0 0.0 
0.52125 0.0 0.0 0.0 
0.52875 0.0 0.0 0.0 
0.53625 0.0 0.0 0.0 
0.54375 0.0 0.0 0.0 
0.55125 0.0 0.0 0.0 
0.55875 0.0 0.0 0.0 
0.56625 0.0 0.0 0.0 
0.57375 0.0 0.0 0.0 
0.58125 0.0 0.0 0.0 
0.58875 0.0 0.0 0.0 
0.59625 0.0 0.0 0.0 
0.60375 0.0 0.0 0.0 
0.61125 0.0 0.0 0.0 
0.61875 0.0 0.0 0.0 
0.62625 0.0 0.0 0.0 
0.63375 0.0 0.0 0.0 
0.64125 0.0 0.0 0.0 
0.64875 0.0 0.0 0.0 
0.65625 0.0 0.0 0.0 
0.66375 0.0 0.0 0.0 
0.67125 0.0 0.0 0.0 
0.67875 0.0 0.0 0.0 
0.68625 0.0 0.0 0.0 
0.69375 0.0 0.0 0.0 
0.70125 0.0 0.0 0.0 
0.70875 0.0 0.0 0.0 
0.71625 0.0 0.0 0.0 
0.72375 0.0 0.0 0.0 
0.73125 0.0 0.0 0.0 
0.73875 0.0 0.0 0.0 
0.74625 0.0 0.0 0.0 
0.75375 0.0 0.0 0.0 
0.76125 0.0 0.0 0.0 
0.76875 0.0 0.0 0.0 
0.77625 0.0 0.0 0.0 
0.78375 0.0 0.0 0.0 
0.79125 0.0195481502 0.0 0.0 
0.79875 0.0575483248 0.0 0.0 
0.80625 0.1506203889 0.0 0.0 
0.81375 0.2772314818 0.0 0.0 
0.82125 0.580674239 0.0 0.0 
0.82875 0.9800517474 0.0 0.0 
0.83625 2.0476091133 0.0 0.0 
0.84375 3.0772229618 0.0 0.0 
0.85125 4.9824313259 0.0 0.0 
0.85875 7.8498479522 0.0 0.0 
0.86625 10.0957318186 0.0 0.0 
0.87375 13.5782165584 0.0 0.0 
0.88125 16.4211361639 0.0 0.0 
0.88875 20.3286432728 0.0 0.0 
0.89625 23.0827807143 0.0 0.0 
0.90375 26.6421339956 0.0 0.0 
0.91125 27.7529498202 0.0 0.0 
0.91875 30.3174926926 0.0 0.0 
0.92625 31.8256381129 0.0 0.0 
0.93375 33.8290531767 0.0 0.0 
0.94125 33.8861037848 0.0 0.0 
0.94875 35.0928410887 0.0 0.0 
0.95625 35.5483389728 0.0 0.0 
0.96375 34.9049764294 0.0 0.0 
0.97125 34.0306648253 0.0 0.0 
0.97875 33.3322605951 0.0 0.0 
0.98625 32.8524006907 0.0 0.0 
0.99375 30.2887409936 0.0 0.0 
1.00125 30.2517552323 0.0 0.0 
1.00875 29.238307378 0.0 0.0 
1.01625 28.0025123813 0.0 0.0 
1.02375 26.4960471919 0.0 0.0 
1.03125 24.8346456475 0.0 0.0 
1.03875 23.9669020757 0.0 0.0 
1.04625 22.528828729 0.0 0.0 
1.05375 20.5780242171 0.0 0.0 
1.06125 20.3968650838 0.0 0.0 
1.06875 19.2544183647 0.0 0.0 
1.07625 18.743983519 0.0 0.0 
1.08375 16.8182165768 0.0 0.0625212512 
1.09125 16.6597759533 0.0051387341 0.0616648092 
1.09875 15.2977000774 0.0050688204 0.1317893313 
1.10625 14.0509101942 0.0050003239 0.3700239695 
1.11375 14.0300392441 0.0246660324 0.5327863004 
1.12125 13.0641858234 0.038939451 0.7593192952 
1.12875 13.0928772436 0.1008622238 1.3928592812 
1.13625 11.1479321591 0.0758362732 2.1992519226 
1.14375 11.0115652649 0.126300876 3.4241570832 
1.15125 10.425322158 0.1800653517 3.9799059788 
1.15875 10.3454935845 0.2871216281 5.8791571472 
1.16625 10.1048834961 0.3959170738 6.7665827151 
1.17375 9.4698016191 0.466383288 8.5459185343 
1.18125 8.7973565856 0.5087205204 9.788484496 
1.18875 8.9465210003 0.6019198543 11.7958970013 
1.19625 7.979444975 0.7440640009 13.0253962454 
1.20375 8.1928328361 0.8023908448 14.7808839826 
1.21125 8.1000299908 0.9968625993 15.5076784273 
1.21875 7.8770504859 1.1988607173 16.4379871542 
1.22625 7.4065909876 1.1313364256 17.2793326007 
1.23375 6.8665496802 1.2181291295 17.8819748113 
1.24125 6.6328930671 1.3424657824 19.0725464121 
1.24875 7.0008199928 1.5029787316 19.0403467517 
1.25625 6.5529919453 1.3183534091 18.2475621862 
1.26375 6.3988101978 1.4215320859 18.8515845347 
1.27125 6.1190574953 1.4578200097 18.3041608492 
1.27875 6.2420878551 1.5006458213 17.8879975704 
1.28625 6.0363514494 1.4794979043 16.659146402 
1.29375 5.6302171843 1.5282018072 16.2398861901 
1.30125 6.1075971856 1.3733058761 16.0098553446 
1.30875 5.6448041454 1.2861579065 15.2695524794 
1.31625 5.8349678647 1.4022289602 14.6015479133 
1.32375 6.0484089687 1.320033828 13.8498787354 
1.33125 5.531570992 1.1912559253 12.761976521 
1.33875 5.619997163 1.1711172703 12.1140643587 
1.34625 5.0173294937 1.0669422073 11.2028931763 
1.35375 5.6630991692 1.1920556624 10.8854382615 
1.36125 5.2574184907 1.2053754705 10.019477199 
1.36875 5.6637765517 0.9962236726 9.5310841856 
1.37625 5.518213465 1.0403189319 9.3434855625 
1.38375 5.8676299262 1.0067012128 8.6096922774 
1.39125 5.64013907 0.8852236209 8.3527171654 
1.39875 5.467220095 0.9570762866 8.0882329322 
1.40625 5.8299008285 0.9128560215 7.2347707734 
1.41375 6.000897185 0.8542093442 6.619356997 
1.42125 5.9134947982 0.7846286643 6.6163281963 
1.42875 5.6717100019 0.8753379073 6.3192202347 
1.43625 5.9508119631 0.8751194063 6.502582165 
1.44375 6.0241912966 0.8719224245 6.1357503946 
1.45125 6.2933138281 0.8396896105 5.9795197868 
1.45875 6.303535805 0.8224503833 5.6248704538 
