# Cluster list (11 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 21384 21.558359942 21.4005417134 21.7747594931 
2 220 46.5937681818 34.3883545455 41.65485 
3 110 42.7937272727 51.3508636364 6.7896363636 
4 88 47.9305681818 35.1680909091 -0.1381477273 
5 44 -1.1394772727 19.13425 42.1763181818 
6 44 0.1464090909 49.7790454545 5.9882045455 
7 22 42.2836363636 50.8914090909 24.9949545455 
8 22 -6.292 8.7876818182 38.2108636364 
9 22 38.0530454545 47.6958636364 39.8122272727 
10 22 10.6435454545 0.8807727273 57.9127272727 
11 22 51.9713181818 39.0744545455 23.4978636364 
