# Cluster list (10 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 21802 16.383828502 16.3942678195 16.1647419044 
2 22 4.0362272727 -7.9481363636 -1.6865909091 
3 22 -4.9152727273 -1.3999090909 6.2771818182 
4 22 3.6894090909 36.8407727273 37.5005909091 
5 22 33.0951363636 39.9778636364 -8.9263636364 
6 22 5.2880454545 15.3231363636 38.4324090909 
7 22 10.8761818182 -4.1332727273 -2.4897272727 
8 22 -0.0636818182 -0.9486818182 -1.3717727273 
9 22 11.5615454545 -7.4839090909 35.3719090909 
10 22 35.7647727273 26.2823181818 -0.2209090909 
