# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.1594109319 0.0 
0.4782327957 1.7729815405 
0.7970546595 1.8289704312 
1.1158765233 4.9643483134 
1.4346983871 6.5920034981 
1.7535202509 8.3193749207 
2.0723421147 8.8928286716 
2.3911639785 8.4305796801 
2.7099858423 7.0690489808 
3.0288077061 5.9901915073 
3.3476295699 5.5792675908 
3.6664514336 5.564571787 
3.9852732974 4.3610053414 
4.3040951612 3.9705710916 
4.622917025 3.6544212227 
4.9417388888 3.2361216467 
5.2605607526 2.8437148233 
5.5793826164 2.2687990115 
5.8982044802 2.0519628618 
6.217026344 1.812139415 
6.5358482078 1.5432391268 
6.8546700716 1.1793459043 
7.1734919354 1.2157587706 
7.4923137992 1.077056861 
7.811135663 0.9247855964 
8.1299575268 0.8931246837 
8.4487793906 0.8752991924 
8.7676012544 0.8937577285 
9.0864231182 0.9115904268 
9.405244982 0.9924893985 
9.7240668458 1.0005180675 
10.0428887096 1.0639080363 
10.3617105734 1.1232053457 
10.6805324371 1.2274487588 
10.9993543009 1.3130291184 
11.3181761647 1.3457966203 
11.6369980285 1.4419835856 
11.9558198923 1.4920108228 
12.2746417561 1.5517077031 
12.5934636199 1.6316278317 
12.9122854837 1.6388099644 
13.2311073475 1.6789623916 
13.5499292113 1.6837926186 
13.8687510751 1.7205135294 
14.1875729389 1.7079831598 
14.5063948027 1.7160611542 
14.8252166665 1.7471261291 
15.1440385303 1.6365701376 
15.4628603941 1.6285201 
15.7816822579 1.6153885411 
16.1005041217 1.5650252427 
16.4193259855 1.5123262928 
16.7381478493 1.4771772917 
17.0569697131 1.3811375475 
17.3757915768 1.3874659942 
17.6946134406 1.2941364665 
18.0134353044 1.2241107384 
18.3322571682 1.2084301848 
18.651079032 1.1396677681 
18.9699008958 1.1187428385 
