# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.1458130843 0.0 
0.437439253 3.0271229362 
0.7290654216 2.7261808899 
1.0206915903 1.7180968016 
1.312317759 2.933386889 
1.6039439276 2.5096660241 
1.8955700963 3.6521456947 
2.1871962649 3.4132254015 
2.4788224336 3.2658208022 
2.7704486022 3.4751718825 
3.0620747709 3.307581456 
3.3537009395 3.2618033318 
3.6453271082 3.1275250237 
3.9369532769 2.9570250255 
4.2285794455 2.9775504 
4.5202056142 2.7332275055 
4.8118317828 2.6224361626 
5.1034579515 2.4825262818 
5.3950841201 2.4782256041 
5.6867102888 2.3915715631 
5.9783364575 2.2143955077 
6.2699626261 1.9758870211 
6.5615887948 1.9963821515 
6.8532149634 1.9082667957 
7.1448411321 1.8158255481 
7.4364673007 1.7582793341 
7.7280934694 1.6806175327 
8.019719638 1.6228853585 
8.3113458067 1.4887874487 
8.6029719754 1.4761394837 
8.894598144 1.3868438533 
9.1862243127 1.3690011801 
9.4778504813 1.312804025 
9.76947665 1.3076276024 
10.0611028186 1.2408387804 
10.3527289873 1.1962068272 
10.644355156 1.208728598 
10.9359813246 1.1975834386 
11.2276074933 1.1806558488 
11.5192336619 1.1442695711 
11.8108598306 1.1908501641 
12.1024859992 1.1984029688 
12.3941121679 1.1387632919 
12.6857383366 1.1658093676 
12.9773645052 1.1397639558 
13.2689906739 1.1868808636 
13.5606168425 1.1657816847 
13.8522430112 1.174605786 
14.1438691798 1.1983999986 
14.4354953485 1.2052395783 
14.7271215171 1.2155266441 
15.0187476858 1.145701759 
15.3103738545 1.1876071051 
15.6020000231 1.1759806415 
15.8936261918 1.1950490565 
16.1852523604 1.1735201543 
16.4768785291 1.1458696187 
16.7685046977 1.1422030557 
17.0601308664 1.1326117255 
17.3517570351 1.1141474348 
