# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.131047055 0.0 
0.393141165 2.012458025 
0.655235275 1.4828638079 
0.9173293851 2.4367059329 
1.1794234951 2.4941283064 
1.4415176051 3.312815518 
1.7036117151 3.6604551478 
1.9657058251 4.0010999787 
2.2277999351 4.0898340508 
2.4898940452 3.503607735 
2.7519881552 4.0516677578 
3.0140822652 3.4277685554 
3.2761763752 3.4361969859 
3.5382704852 3.3016084673 
3.8003645953 3.4246868894 
4.0624587053 3.0011024528 
4.3245528153 3.0622861893 
4.5866469253 2.9094142894 
4.8487410353 2.6747859826 
5.1108351453 2.7458322991 
5.3729292554 2.5292176669 
5.6350233654 2.2507028755 
5.8971174754 2.2888232284 
6.1592115854 2.089701435 
6.4213056954 2.0446394748 
6.6833998054 2.1069434966 
6.9454939155 1.9482733172 
7.2075880255 1.7160439783 
7.4696821355 1.6520818731 
7.7317762455 1.7113986207 
7.9938703555 1.644432738 
8.2559644656 1.5360117986 
8.5180585756 1.5905340389 
8.7801526856 1.5806790891 
9.0422467956 1.4966916894 
9.3043409056 1.475412231 
9.5664350156 1.4605299572 
9.8285291257 1.5346006063 
10.0906232357 1.4856981552 
10.3527173457 1.468608548 
10.6148114557 1.5034750423 
10.8769055657 1.4842413473 
11.1389996757 1.5306416305 
11.4010937858 1.5121971892 
11.6631878958 1.5128156101 
11.9252820058 1.4574848958 
12.1873761158 1.464530884 
12.4494702258 1.5329644066 
12.7115643359 1.4735972224 
12.9736584459 1.4476228465 
13.2357525559 1.4361548577 
13.4978466659 1.4485549946 
13.7599407759 1.4845315589 
14.0220348859 1.4702403836 
14.284128996 1.4041360705 
14.546223106 1.4457641312 
14.808317216 1.3720941756 
15.070411326 1.368528266 
15.332505436 1.3572673954 
15.594599546 1.3738375064 
