# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.2323179613 6.342421955 
0.6969538839 9.362622886 
1.1615898066 14.4651728799 
1.6262257292 18.6844322459 
2.0908616518 19.9283749953 
2.5554975745 13.2424194665 
3.0201334971 9.438722437 
3.4847694197 6.1547763351 
3.9494053424 4.3062219725 
4.414041265 2.691433671 
4.8786771876 1.6159443652 
5.3433131103 1.001154767 
5.8079490329 0.6446100494 
6.2725849555 0.50244659 
6.7372208782 0.4255084988 
7.2018568008 0.4486317888 
7.6664927234 0.5434143658 
8.1311286461 0.6211294624 
8.5957645687 0.6628561732 
9.0604004913 0.8671497151 
9.5250364139 0.9154011069 
9.9896723366 1.13556942 
10.4543082592 1.1663264425 
10.9189441818 1.2184697178 
11.3835801045 1.32529972 
11.8482160271 1.3859486896 
12.3128519497 1.4990631863 
12.7774878724 1.6044734254 
13.242123795 1.5476515891 
13.7067597176 1.6121233388 
14.1713956403 1.6831316833 
14.6360315629 1.5609274949 
15.1006674855 1.6304701018 
15.5653034082 1.634424745 
16.0299393308 1.5842734203 
16.4945752534 1.5751214535 
16.9592111761 1.6169447016 
17.4238470987 1.5529087176 
17.8884830213 1.5003885533 
18.3531189439 1.4362245829 
18.8177548666 1.3915264318 
19.2823907892 1.3019538521 
19.7470267118 1.3350413933 
20.2116626345 1.2237213636 
20.6762985571 1.2124014813 
21.1409344797 1.1467621728 
21.6055704024 1.1504418838 
22.070206325 1.1162562696 
22.5348422476 1.0925706329 
22.9994781703 1.0287418189 
23.4641140929 1.0549979098 
23.9287500155 1.0258510816 
24.3933859382 1.0242166466 
24.8580218608 1.043159886 
25.3226577834 1.0263463651 
25.7872937061 1.0246981905 
26.2519296287 1.0187698765 
26.7165655513 1.0281897876 
27.1812014739 1.0347284284 
27.6458373966 1.0076056848 
