# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.1594109319 0.0 
0.4782327957 2.4321481821 
0.7970546595 2.3521433077 
1.1158765233 2.1856466772 
1.4346983871 2.477003374 
1.7535202509 2.7361667049 
2.0723421147 2.9827329084 
2.3911639785 3.0096034828 
2.7099858423 3.1774839154 
3.0288077061 3.2510910664 
3.3476295699 3.0025273442 
3.6664514336 3.1305484158 
3.9852732974 3.1354746154 
4.3040951612 2.9723785371 
4.622917025 2.7352030963 
4.9417388888 2.511842358 
5.2605607526 2.5943906251 
5.5793826164 2.2554932407 
5.8982044802 2.2462439637 
6.217026344 2.0945570618 
6.5358482078 2.0639988687 
6.8546700716 2.1035802185 
7.1734919354 1.9712168734 
7.4923137992 1.8044792827 
7.811135663 1.7559137556 
8.1299575268 1.7081758312 
8.4487793906 1.5786742561 
8.7676012544 1.6038350452 
9.0864231182 1.5028769568 
9.405244982 1.4059837849 
9.7240668458 1.4136697916 
10.0428887096 1.3425016796 
10.3617105734 1.2880254612 
10.6805324371 1.2388280761 
10.9993543009 1.1954713236 
11.3181761647 1.1898614388 
11.6369980285 1.1798687328 
11.9558198923 1.1228292538 
12.2746417561 1.1762857438 
12.5934636199 1.109755287 
12.9122854837 1.0941207149 
13.2311073475 1.1029864966 
13.5499292113 1.0783989748 
13.8687510751 1.093866892 
14.1875729389 1.0828708905 
14.5063948027 1.0597818445 
14.8252166665 1.0497941899 
15.1440385303 1.0217789028 
15.4628603941 1.0376780725 
15.7816822579 1.0135467198 
16.1005041217 1.0316602936 
16.4193259855 1.0206035918 
16.7381478493 1.0304790369 
17.0569697131 1.0000003698 
17.3757915768 1.0211965462 
17.6946134406 1.0086795702 
18.0134353044 0.9977343814 
18.3322571682 0.993370332 
18.651079032 0.9841589191 
18.9699008958 0.9533604104 
