# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.1463511449 4.9591223782 
0.4390534346 5.3133454053 
0.7317557243 4.3066062758 
1.0244580141 4.2219555382 
1.3171603038 5.8940388922 
1.6098625935 7.2479480913 
1.9025648832 7.5363040866 
2.195267173 6.8371332197 
2.4879694627 6.2846020922 
2.7806717524 6.6335124063 
3.0733740422 6.3225064762 
3.3660763319 5.483765048 
3.6587786216 5.1388773472 
3.9514809114 4.7415374841 
4.2441832011 4.6486860329 
4.5368854908 4.2575544412 
4.8295877806 3.8543974421 
5.1222900703 3.7503700249 
5.41499236 3.3897798535 
5.7076946497 3.1206396736 
6.0003969395 2.9436186361 
6.2930992292 2.7083887538 
6.5858015189 2.4305902637 
6.8785038087 2.3553586673 
7.1712060984 2.0527627612 
7.4639083881 1.7881817494 
7.7566106779 1.7158045628 
8.0493129676 1.680725037 
8.3420152573 1.4804109685 
8.634717547 1.3665601498 
8.9274198368 1.3255124666 
9.2201221265 1.2218731154 
9.5128244162 1.100897 
9.805526706 1.1392578437 
10.0982289957 1.0588996957 
10.3909312854 1.0191055509 
10.6836335752 0.9776803688 
10.9763358649 0.9897087088 
11.2690381546 0.9662872815 
11.5617404444 1.0371674446 
11.8544427341 0.9523207981 
12.1471450238 0.976564161 
12.4398473135 1.0025315677 
12.7325496033 1.0831974192 
13.025251893 1.0767998431 
13.3179541827 1.0890746939 
13.6106564725 1.1184208478 
13.9033587622 1.1110221726 
14.1960610519 1.1500076197 
14.4887633417 1.1535980502 
14.7814656314 1.2318405542 
15.0741679211 1.1953747294 
15.3668702108 1.2183404416 
15.6595725006 1.24743267 
15.9522747903 1.2630151765 
16.24497708 1.2471594424 
16.5376793698 1.2632117617 
16.8303816595 1.2321561751 
17.1230839492 1.2640521344 
17.415786239 1.2875228282 
