# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.2142734659 1.874136272 
0.6428203977 8.5674801005 
1.0713673294 7.9897388437 
1.4999142612 8.8641580432 
1.928461193 10.4460054504 
2.3570081248 10.4622112766 
2.7855550565 10.2856140281 
3.2141019883 8.7496657905 
3.6426489201 7.5829108148 
4.0711958519 6.2655625919 
4.4997427837 5.6903533334 
4.9282897154 4.9001346356 
5.3568366472 4.0759466896 
5.785383579 3.5564048452 
6.2139305108 2.9582246068 
6.6424774425 2.3524179281 
7.0710243743 1.9108390631 
7.4995713061 1.5600807922 
7.9281182379 1.2591567942 
8.3566651696 0.9773103259 
8.7852121014 0.7148767223 
9.2137590332 0.6121007435 
9.642305965 0.5428702829 
10.0708528967 0.4659892239 
10.4993998285 0.4911673073 
10.9279467603 0.5206467757 
11.3564936921 0.5514781626 
11.7850406239 0.6112211729 
12.2135875556 0.6867475137 
12.6421344874 0.7163492912 
13.0706814192 0.8118347377 
13.499228351 0.8423225838 
13.9277752827 0.9894067476 
14.3563222145 0.9946782055 
14.7848691463 1.1273157973 
15.2134160781 1.1692905225 
15.6419630098 1.2458293907 
16.0705099416 1.2424648383 
16.4990568734 1.3068802742 
16.9276038052 1.2883936174 
17.3561507369 1.3558067727 
17.7846976687 1.3783080769 
18.2132446005 1.3695478201 
18.6417915323 1.3482424757 
19.070338464 1.3138827761 
19.4988853958 1.3116841691 
19.9274323276 1.2867894181 
20.3559792594 1.2528389172 
20.7845261912 1.1871034626 
21.2130731229 1.1822024069 
21.6416200547 1.1449108529 
22.0701669865 1.08886917 
22.4987139183 1.0355458492 
22.92726085 0.9899944253 
23.3558077818 0.9594669142 
23.7843547136 0.9150636142 
24.2129016454 0.8829594716 
24.6414485771 0.8476031169 
25.0699955089 0.8433339414 
25.4985424407 0.8367530554 
