# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.2725888592 6.7050370411 
0.8177665775 8.8602275186 
1.3629442959 10.4986764196 
1.9081220143 11.4619889959 
2.4532997326 10.8269860418 
2.998477451 10.6470093674 
3.5436551694 9.7935777254 
4.0888328877 8.4209710768 
4.6340106061 6.983126135 
5.1791883245 6.0308220619 
5.7243660428 5.0895485093 
6.2695437612 3.9900881636 
6.8147214796 3.2738880222 
7.3598991979 2.381084909 
7.9050769163 1.8861237318 
8.4502546347 1.3391474812 
8.995432353 0.9786727872 
9.5406100714 0.7934415432 
10.0857877897 0.5875884457 
10.6309655081 0.4980297013 
11.1761432265 0.4107566308 
11.7213209448 0.4532063609 
12.2664986632 0.4358936194 
12.8116763816 0.4704046808 
13.3568540999 0.5333129129 
13.9020318183 0.5670584889 
14.4472095367 0.6475913801 
14.992387255 0.7505859006 
15.5375649734 0.7868857586 
16.0827426918 0.8654145855 
16.6279204101 0.9399303985 
17.1730981285 1.0501254687 
17.7182758469 1.1086902523 
18.2634535652 1.0957667454 
18.8086312836 1.1617870818 
19.3538090019 1.2156315503 
19.8989867203 1.214103217 
20.4441644387 1.2110069271 
20.989342157 1.2182752258 
21.5345198754 1.1552258863 
22.0796975938 1.1731430385 
22.6248753121 1.144540869 
23.1700530305 1.1074013936 
23.7152307489 1.0679988981 
24.2604084672 1.0191295149 
24.8055861856 0.9950680877 
25.350763904 0.9901997049 
25.8959416223 0.9338415823 
26.4411193407 0.914495983 
26.9862970591 0.8961636366 
27.5314747774 0.8947644516 
28.0766524958 0.8550881409 
28.6218302142 0.8408662972 
29.1670079325 0.8386176525 
29.7121856509 0.8361544621 
30.2573633692 0.8286064604 
30.8025410876 0.8315660171 
31.347718806 0.8236805761 
31.8928965243 0.8150273914 
32.4380742427 0.7889671445 
