# Cluster list (24 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 32878 34.8612941176 33.8197159803 35.3778088996 
2 102 68.4891666667 74.5590882353 18.690754902 
3 102 31.4257745098 -7.8493039216 31.1448823529 
4 102 -2.9189313725 51.1448039216 65.7512647059 
5 68 -5.7154264706 15.0105588235 48.9300882353 
6 68 53.4339411765 70.7678676471 67.1095147059 
7 68 80.1124705882 5.6653823529 37.9831764706 
8 68 72.9588676471 13.7708235294 27.5186617647 
9 34 70.7635294118 -2.1241470588 8.9745 
10 34 7.2788529412 9.1672352941 -0.1824411765 
11 34 8.4303529412 78.8336470588 62.1039705882 
12 34 -3.6 11.1052058824 13.7904117647 
13 34 5.2447352941 41.6967058824 76.1512352941 
14 34 6.5059411765 74.6080882353 42.3404411765 
15 34 36.3436176471 4.1973235294 -9.175 
16 34 71.7809705882 61.4027941176 57.8818235294 
17 34 65.9520588235 79.0504411765 5.6832352941 
18 34 -9.2187058824 41.7744411765 28.2560588235 
19 34 -6.0629117647 69.7868235294 49.1069411765 
20 34 15.4284705882 72.8450294118 6.5229117647 
21 34 37.7842058824 70.9708823529 42.1590294118 
22 34 -1.0726176471 15.0838823529 12.8907647059 
23 34 69.0907058824 4.2723529412 49.2169117647 
24 34 67.0126176471 52.0376470588 70.9312941176 
