# Cluster list (12 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 33388 30.2095618785 29.5166090811 30.9211017431 
2 136 60.5296691176 41.1441397059 -1.6857941176 
3 102 64.8627941176 65.1236568627 19.303245098 
4 68 26.2357794118 -11.0970882353 28.4474264706 
5 68 65.6021911765 5.6657352941 62.7935882353 
6 34 41.3960294118 59.6661470588 59.5451470588 
7 34 -9.0019117647 36.1395294118 5.6603235294 
8 34 67.3091176471 61.0969117647 41.5011764706 
9 34 -14.6662058824 26.0431470588 39.7532647059 
10 34 47.9591764706 64.5647352941 55.6875588235 
11 34 24.1348529412 -1.5797352941 62.1068823529 
12 34 -11.9784411765 56.4948823529 49.4542941176 
