# Cluster list (42 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 17046 24.5628670069 24.084376276 24.5566816262 
2 54 -3.5368703704 45.8984444444 30.4494444444 
3 54 -1.2937037037 44.0881666667 -0.4481851852 
4 36 37.3243888889 63.9300555556 9.1232222222 
5 36 -5.9706111111 3.2301111111 7.4516388889 
6 36 47.5784444444 37.6324722222 58.9345833333 
7 36 26.2286111111 22.1955555556 58.5348055556 
8 36 16.5440833333 19.1335277778 60.6569166667 
9 36 6.7771388889 -12.4954166667 1.522 
10 36 15.3241666667 3.3538888889 58.8662777778 
11 36 36.4990833333 -6.1211388889 33.1840833333 
12 18 8.4286111111 24.2496111111 -17.9831111111 
13 18 16.3691666667 -9.6247222222 24.5018333333 
14 18 24.5682777778 63.3003888889 9.0961666667 
15 18 44.7911111111 47.0533333333 -3.2457222222 
16 18 52.4756111111 -6.5862222222 36.7206666667 
17 18 3.9045555556 43.5141666667 -7.5944444444 
18 18 27.7532222222 -12.3835555556 34.4782222222 
19 18 24.6473888889 57.6313333333 39.9243888889 
20 18 -0.5663333333 61.7910555556 3.6650555556 
21 18 18.267 40.7292777778 60.3672777778 
22 18 29.6440555556 -11.1971111111 -3.4702777778 
23 18 48.8191111111 41.5025555556 1.7155555556 
24 18 7.2999444444 36.5342222222 -9.4630555556 
25 18 57.2125555556 56.7923888889 19.5976666667 
26 18 18.2067222222 57.1863888889 41.0675555556 
27 18 46.2943333333 32.9343333333 -5.2016111111 
28 18 -3.4999444444 -0.1677222222 16.3404444444 
29 18 58.6146111111 45.7259444444 45.7266111111 
30 18 48.4395555556 60.3886111111 -8.7272777778 
31 18 -8.6864444444 -3.5632222222 -4.1166666667 
32 18 25.6237777778 50.0780555556 6.3362222222 
33 18 15.7431666667 -1.6103888889 -7.2834444444 
34 18 -2.9322777778 14.0621111111 5.1382222222 
35 18 15.5478333333 -7.1409444444 52.0276111111 
36 18 57.817 23.0225555556 36.8849444444 
37 18 58.9143888889 23.9912222222 27.5923333333 
38 18 49.2917777778 44.5158888889 39.2717222222 
39 18 16.6613333333 43.6353333333 -15.2292222222 
40 18 54.1477777778 44.4659444444 5.2345 
41 18 35.7455 56.5362777778 -2.0503333333 
42 18 22.1822222222 55.4229444444 21.2426666667 
