# Cluster list (12 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 17748 20.5050659793 20.3439288934 20.4944077079 
2 54 41.6401296296 40.5186111111 -6.8381481481 
3 36 24.5731944444 -3.9663888889 47.5253611111 
4 18 5.1878333333 47.3058333333 -4.4326111111 
5 18 52.4884444444 5.0411666667 19.7861111111 
6 18 -0.1451111111 43.5062777778 -1.782 
7 18 1.8082222222 42.7865555556 -10.9667777778 
8 18 52.7518333333 47.2137777778 25.7017777778 
9 18 16.9128333333 48.2833333333 5.9638888889 
10 18 45.3731111111 45.6746111111 29.7976111111 
11 18 6.0471666667 44.7033333333 39.8706111111 
12 18 45.2431666667 44.1891666667 19.7118888889 
