# Cluster list (87 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 16002 28.2517772778 27.729740345 28.3182540307 
2 126 -0.8399444444 7.9825396825 12.1367222222 
3 72 44.4679166667 2.4496944444 -4.1913333333 
4 72 3.8475555556 16.9510277778 64.0444861111 
5 54 -7.9645740741 38.7173888889 53.8347407407 
6 36 4.1253888889 -0.2141666667 -9.53475 
7 36 -7.8031666667 10.1553611111 2.9451111111 
8 36 52.4660555556 44.5958888889 0.5221388889 
9 36 33.6710277778 -14.6285833333 18.2689722222 
10 36 -0.9576388889 52.3408888889 -4.5221388889 
11 36 2.34725 3.7155277778 35.5164722222 
12 36 59.944 30.8590833333 54.9833888889 
13 36 29.7461111111 59.1443333333 40.6217777778 
14 36 33.8160833333 50.7329722222 66.6607222222 
15 36 17.3337222222 12.98275 61.86825 
16 36 54.35475 42.7738611111 60.5052777778 
17 18 48.2792222222 52.1612777778 -1.1633333333 
18 18 -7.9138333333 23.1500555556 39.5461666667 
19 18 31.933 -6.9112222222 45.7122222222 
20 18 14.8235 -1.8251111111 53.4262222222 
21 18 -2.6593333333 51.3597777778 15.4967222222 
22 18 -0.4832222222 34.0544444444 -10.2688333333 
23 18 40.1027222222 47.5932222222 3.0423888889 
24 18 49.9262222222 -10.619 23.4151666667 
25 18 57.2745 61.703 8.8456666667 
26 18 48.3158888889 -2.8625555556 44.9053333333 
27 18 46.2625 70.3189444444 -5.1778333333 
28 18 55.0529444444 1.0781666667 36.0587222222 
29 18 72.5565 -3.8222777778 39.9132777778 
30 18 38.8012222222 21.3794444444 70.4401666667 
31 18 -0.3962222222 6.7342777778 -5.8903333333 
32 18 -7.9704444444 36.294 21.6262777778 
33 18 53.2953888889 18.0766666667 -13.3536111111 
34 18 68.9272777778 38.3972777778 68.9359444444 
35 18 36.0471666667 40.8018888889 -2.9263333333 
36 18 17.6643333333 48.1486666667 61.1552222222 
37 18 62.5035 25.2825 25.3805555556 
38 18 45.8908333333 51.0933333333 6.2348888889 
39 18 3.3230555556 69.8245 40.3084444444 
40 18 -11.5058333333 36.5043333333 44.5077777778 
41 18 58.3582222222 12.4562777778 0.0432777778 
42 18 62.2469444444 28.8165555556 18.6773333333 
43 18 19.1154444444 24.5354444444 64.2467777778 
44 18 71.6103333333 2.4913888889 51.0851666667 
45 18 43.7855 39.428 -0.5028333333 
46 18 64.9788333333 73.3228333333 35.1122222222 
47 18 34.7027222222 68.4377777778 14.2062222222 
48 18 64.3157777778 21.3018888889 17.8432777778 
49 18 39.5457222222 67.7255555556 10.6148333333 
50 18 5.8677777778 49.1286666667 69.3802777778 
51 18 46.3523888889 74.7368888889 -1.5960555556 
52 18 52.9436666667 -9.9307222222 56.2843333333 
53 18 6.925 12.6973333333 0.8908888889 
54 18 6.0996666667 64.0761111111 13.9810555556 
55 18 13.0531111111 -11.4776111111 6.8026111111 
56 18 24.8417777778 44.4097777778 61.8622777778 
57 18 12.3047777778 50.2221666667 71.6928333333 
58 18 13.1535 48.7297222222 -9.8942777778 
59 18 -6.7307777778 55.4398888889 42.8895555556 
60 18 59.5825555556 46.4103333333 20.6985555556 
61 18 -16.4242777778 35.2278333333 5.8338333333 
62 18 62.9156111111 51.9629444444 -7.1416666667 
63 18 58.323 22.0577777778 59.4967777778 
64 18 66.6217777778 56.9923333333 26.019 
65 18 2.0333888889 0.1041111111 44.2594444444 
66 18 43.8943333333 51.8521111111 -5.9264444444 
67 18 31.3646666667 1.8868333333 -4.9928888889 
68 18 33.1724444444 -6.3210555556 20.6116666667 
69 18 70.4019444444 10.6273333333 43.5088333333 
70 18 13.2502222222 51.5258333333 -5.0961111111 
71 18 25.3877777778 56.3532777778 31.8175555556 
72 18 36.4242222222 28.0044444444 -0.7999444444 
73 18 50.9062777778 4.9843333333 -5.4266111111 
74 18 -8.901 27.6483888889 51.6097777778 
75 18 30.0983888889 14.5208888889 -6.0152222222 
76 18 -10.3413888889 45.9917777778 2.3923333333 
77 18 -2.2526666667 13.9042222222 44.0440555556 
78 18 49.4115555556 60.1056111111 14.9169444444 
79 18 -7.1500555556 14.4477222222 -2.1569444444 
80 18 -4.0112777778 49.3479444444 68.6951111111 
81 18 33.3403333333 45.9515 -1.7672222222 
82 18 54.5095555556 6.138 30.3648888889 
83 18 -6.3070555556 56.3998333333 17.9629444444 
84 18 0.6734444444 58.6423888889 29.9629444444 
85 18 20.2212777778 67.9142222222 33.0271111111 
86 18 73.7381666667 20.6463888889 61.0141666667 
87 18 58.6360555556 -2.6335 6.2249444444 
