# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.1229835184 1.768753172 
0.3689505551 1.5160741474 
0.6149175918 1.8618454442 
0.8608846285 1.6731448924 
1.1068516652 1.3918057747 
1.3528187019 1.8076268681 
1.5987857386 1.9219522656 
1.8447527753 2.0199370544 
2.090719812 1.8502625348 
2.3366868487 1.9906631641 
2.5826538854 1.6565362034 
2.8286209221 1.8400379346 
3.0745879588 1.5575587634 
3.3205549955 1.5650393697 
3.5665220322 1.4996560175 
3.8124890689 1.3836016491 
4.0584561056 1.3617450982 
4.3044231423 1.3491795142 
4.550390179 1.3536903537 
4.7963572157 1.33780367 
5.0423242524 1.3241102255 
5.2882912891 1.2956403913 
5.5342583258 1.3646996166 
5.7802253625 1.3759341211 
6.0261923992 1.4535006633 
6.2721594359 1.3689478676 
6.5181264726 1.4438801404 
6.7640935093 1.4242009895 
7.010060546 1.3761001289 
7.2560275827 1.4083637858 
7.5019946194 1.3821750871 
7.7479616561 1.2851236517 
7.9939286928 1.3300532688 
8.2398957295 1.2828319709 
8.4858627662 1.2486773303 
8.7318298029 1.2106673391 
8.9777968396 1.2058674991 
9.2237638763 1.1893701704 
9.469730913 1.138334063 
9.7156979497 1.1611575513 
9.9616649864 1.1048866594 
10.2076320231 1.0957574809 
10.4535990598 1.0807052505 
10.6995660965 1.0459229168 
10.9455331332 1.056309755 
11.1915001699 1.0363053925 
11.4374672066 1.0104823887 
11.6834342433 1.0128065142 
11.92940128 0.9727265213 
12.1753683167 0.9424848558 
12.4213353534 0.9630931531 
12.6673023901 0.9418382795 
12.9132694268 0.9456594236 
13.1592364635 0.8995161409 
13.4052035002 0.8944003808 
13.6511705369 0.8823668567 
13.8971375736 0.8979511248 
14.1431046103 0.8411340571 
14.389071647 0.8320909536 
14.6350386837 0.8320017745 
