# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.2540492854 2.02374554 
0.7621478561 2.02374554 
1.2702464269 1.5976938474 
1.7783449977 1.9690497146 
2.2864435684 2.7204448243 
2.7945421392 2.8465871332 
3.30264071 3.1870008504 
3.8107392807 2.6464364754 
4.3188378515 2.7418487962 
4.8269364223 2.4419365003 
5.335034993 2.2988771089 
5.8431335638 2.0645263066 
6.3512321346 1.9547051805 
6.8593307053 1.8202610707 
7.3674292761 1.9531870584 
7.8755278469 1.7486733307 
8.3836264176 1.8701687671 
8.8917249884 1.7616936148 
9.3998235592 1.7872806279 
9.9079221299 1.5271208676 
10.4160207007 1.540678603 
10.9241192714 1.5291170338 
11.4322178422 1.5361281156 
11.940316413 1.5010158532 
12.4484149837 1.4349378427 
12.9565135545 1.4667228055 
13.4646121253 1.4474535021 
13.972710696 1.3940565355 
14.4808092668 1.4208570451 
14.9889078376 1.3982523762 
15.4970064083 1.4110386316 
16.0051049791 1.3806607967 
16.5132035499 1.4349498985 
17.0213021206 1.4461335816 
17.5294006914 1.3952566563 
18.0374992622 1.4306987116 
18.5455978329 1.4359125223 
19.0536964037 1.3944129616 
19.5617949745 1.4385112777 
20.0698935452 1.3856236821 
20.577992116 1.3809667798 
21.0860906867 1.3410692334 
21.5941892575 1.3466740021 
22.1022878283 1.2733519586 
22.610386399 1.2535572441 
23.1184849698 1.2147034895 
23.6265835406 1.2173046242 
24.1346821113 1.1869212282 
24.6427806821 1.190961489 
25.1508792529 1.1336939374 
25.6589778236 1.1146338656 
26.1670763944 1.0994912617 
26.6751749652 1.0538454826 
27.1832735359 1.0473419331 
27.6913721067 1.0249313907 
28.1994706775 1.0301589677 
28.7075692482 0.9853529762 
29.215667819 0.9630082618 
29.7237663898 0.9459389156 
30.2318649605 0.9136484196 
