# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.1424979956 0.0 
0.4274939867 0.9191429816 
0.7124899778 0.0 
0.9974859689 0.3477838309 
1.28248196 0.3164262723 
1.5674779511 1.2019562066 
1.8524739422 1.6211655738 
2.1374699333 1.7893375203 
2.4224659245 2.8167284919 
2.7074619156 3.1576461839 
2.9924579067 3.1295291245 
3.2774538978 3.3871692242 
3.5624498889 3.4982307507 
3.84744588 3.4346037556 
4.1324418711 3.619762772 
4.4174378622 3.569487307 
4.7024338534 3.6383211779 
4.9874298445 3.7735870178 
5.2724258356 3.1637492111 
5.5574218267 3.3946262263 
5.8424178178 3.4746666083 
6.1274138089 3.4280653523 
6.4124098 3.1682900931 
6.6974057912 3.2733027967 
6.9824017823 3.2616561883 
7.2673977734 3.1790757763 
7.5523937645 3.1910445705 
7.8373897556 3.2637880134 
8.1223857467 3.1734382629 
8.4073817378 3.0925588253 
8.6923777289 2.9853210777 
8.9773737201 3.2850793832 
9.2623697112 2.9764106269 
9.5473657023 3.1071236757 
9.8323616934 3.0755641239 
10.1173576845 3.0425796237 
10.4023536756 3.0954675193 
10.6873496667 3.0073120923 
10.9723456578 2.931253826 
11.257341649 2.9427891187 
11.5423376401 2.8384913413 
11.8273336312 2.8652285666 
12.1123296223 2.9100823278 
12.3973256134 2.6939616118 
12.6823216045 2.8255021498 
12.9673175956 2.768971877 
13.2523135867 2.6501696203 
13.5373095779 2.6623779641 
13.822305569 2.5865467579 
14.1073015601 2.6528984682 
14.3922975512 2.5505587036 
14.6772935423 2.5842738197 
14.9622895334 2.5770239309 
15.2472855245 2.4755955371 
15.5322815156 2.4267396394 
15.8172775068 2.4222366659 
16.1022734979 2.3600965918 
16.387269489 2.3740743207 
16.6722654801 2.2961117357 
16.9572614712 2.3068143599 
