# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.1424979956 0.0 
0.4274939867 2.6854397955 
0.7124899778 2.5723686462 
0.9974859689 3.2515595361 
1.28248196 3.6363496247 
1.5674779511 4.4206470479 
1.8524739422 5.4173990204 
2.1374699333 5.3613454851 
2.4224659245 5.1629745745 
2.7074619156 4.9665772158 
2.9924579067 5.0544682555 
3.2774538978 4.3846399885 
3.5624498889 4.5371908186 
3.84744588 3.95206405 
4.1324418711 4.1409396529 
4.4174378622 3.7283290364 
4.7024338534 3.4098840193 
4.9874298445 3.6123402341 
5.2724258356 3.2837149904 
5.5574218267 3.3246733173 
5.8424178178 2.8860491759 
6.1274138089 2.8407190107 
6.4124098 2.5493115109 
6.6974057912 2.6228821756 
6.9824017823 2.6031320349 
7.2673977734 2.4492422204 
7.5523937645 2.2072352339 
7.8373897556 2.1126090943 
8.1223857467 2.074962304 
8.4073817378 1.9870814572 
8.6923777289 1.9262810715 
8.9773737201 1.8122433823 
9.2623697112 1.8578599582 
9.5473657023 1.8390517019 
9.8323616934 1.8382215167 
10.1173576845 1.8683728976 
10.4023536756 1.822900989 
10.6873496667 1.8356976464 
10.9723456578 1.746653039 
11.257341649 1.7894517859 
11.5423376401 1.7266270093 
11.8273336312 1.7695733338 
12.1123296223 1.7601301099 
12.3973256134 1.7609332715 
12.6823216045 1.7358400779 
12.9673175956 1.739677276 
13.2523135867 1.7108656677 
13.5373095779 1.7606709724 
13.822305569 1.7165200268 
14.1073015601 1.6463342378 
14.3922975512 1.678584143 
14.6772935423 1.6811251362 
14.9622895334 1.6395179905 
15.2472855245 1.5971908843 
15.5322815156 1.6137953209 
15.8172775068 1.5773217316 
16.1022734979 1.5545659628 
16.387269489 1.5077882154 
16.6722654801 1.5350452003 
16.9572614712 1.5380407001 
