# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.1717202208 0.0 
0.5151606625 0.7404600552 
0.8586011041 1.0912042919 
1.2020415458 2.2413925995 
1.5454819874 2.1667560631 
1.8889224291 2.2783386314 
2.2323628707 3.5507100284 
2.5758033124 3.3890287141 
2.919243754 3.4753850978 
3.2626841957 2.935883134 
3.6061246373 2.7638622302 
3.949565079 2.447994515 
4.2930055206 2.3429482343 
4.6364459623 2.1557269431 
4.9798864039 2.287681264 
5.3233268456 2.0776015141 
5.6667672872 2.1189664737 
6.0102077289 2.0614440165 
6.3536481705 2.1045792611 
6.6970886122 2.1418829204 
7.0405290538 2.1374104686 
7.3839694955 2.0646930522 
7.7274099371 2.0507672496 
8.0708503788 1.9284582789 
8.4142908204 1.9383114549 
8.7577312621 1.8809431233 
9.1011717037 1.8597601386 
9.4446121454 1.8012204824 
9.788052587 1.7046988673 
10.1314930287 1.6169027211 
10.4749334703 1.5729801746 
10.818373912 1.5800377899 
11.1618143536 1.5857154196 
11.5052547953 1.6279345288 
11.8486952369 1.6017036394 
12.1921356786 1.5977369374 
12.5355761203 1.6559850972 
12.8790165619 1.6290472226 
13.2224570036 1.5822400887 
13.5658974452 1.6088910962 
13.9093378869 1.5456971991 
14.2527783285 1.6516687374 
14.5962187702 1.6064252886 
14.9396592118 1.6151342018 
15.2830996535 1.5856763259 
15.6265400951 1.5764133489 
15.9699805368 1.5157344031 
16.3134209784 1.4594796951 
16.6568614201 1.5130273481 
17.0003018617 1.4281883951 
17.3437423034 1.4284172245 
17.687182745 1.3940042261 
18.0306231867 1.3981343659 
18.3740636283 1.321307724 
18.71750407 1.3404479161 
19.0609445116 1.267059285 
19.4043849533 1.2783508982 
19.7478253949 1.2418513205 
20.0912658366 1.2287872232 
20.4347062782 1.1773391566 
