# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.2055176729 1.7243208289 
0.6165530186 0.492663094 
1.0275883643 0.7260298227 
1.43862371 0.9320653129 
1.8496590557 0.8480266372 
2.2606944015 0.9663776074 
2.6717297472 1.0454543609 
3.0827650929 1.4998530287 
3.4938004386 1.2713886296 
3.9048357844 1.2471102674 
4.3158711301 1.3231948355 
4.7269064758 1.3855373915 
5.1379418215 1.492695643 
5.5489771672 1.5068105233 
5.960012513 1.4483201891 
6.3710478587 1.3823265452 
6.7820832044 1.4731651635 
7.1931185501 1.5235565975 
7.6041538959 1.4422508199 
8.0151892416 1.471944336 
8.4262245873 1.4152831546 
8.837259933 1.4719508734 
9.2482952787 1.5506400608 
9.6593306245 1.42149804 
10.0703659702 1.4141154161 
10.4814013159 1.2939034821 
10.8924366616 1.3838759002 
11.3034720073 1.3185088754 
11.7145073531 1.3429466284 
12.1255426988 1.3208125844 
12.5365780445 1.2232731069 
12.9476133902 1.2198252152 
13.358648736 1.2144790439 
13.7696840817 1.2654579056 
14.1807194274 1.1922005395 
14.5917547731 1.1893754885 
15.0027901188 1.1544364619 
15.4138254646 1.221206598 
15.8248608103 1.154717209 
16.235896156 1.1194640032 
16.6469315017 1.0999071494 
17.0579668475 1.1102797364 
17.4690021932 1.0748765012 
17.8800375389 1.0816111453 
18.2910728846 1.0315159445 
18.7021082303 1.0677407677 
19.1131435761 1.0002496191 
19.5241789218 1.0268484653 
19.9352142675 0.9563542191 
20.3462496132 1.0027848651 
20.7572849589 0.9569293216 
21.1683203047 0.9439665114 
21.5793556504 0.9325387286 
21.9903909961 0.8994099211 
22.4014263418 0.8589675861 
22.8124616876 0.8771812809 
23.2234970333 0.8716129407 
23.634532379 0.8271316165 
24.0455677247 0.8254638039 
24.4566030704 0.8229528558 
