# Cluster list (15 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 25454 27.8339816925 27.5882161939 27.9002602341 
2 130 -1.8597230769 2.0998692308 17.7792538462 
3 52 -2.6159807692 27.7331538462 -6.8374615385 
4 52 48.3918653846 2.6854615385 64.3916730769 
5 52 19.4072307692 -4.3034038462 61.7325192308 
6 26 43.7928076923 -11.4653846154 23.8097307692 
7 26 27.1817692308 22.6380384615 59.7460384615 
8 26 -7.5593461538 39.1072307692 49.9378076923 
9 26 -4.9618846154 15.0665384615 61.9464230769 
10 26 4.6864230769 -1.0530769231 64.3344615385 
11 26 51.6503846154 63.6372307692 23.073 
12 26 -5.0733846154 40.436 7.7716923077 
13 26 37.3447692308 60.3243076923 -6.6942692308 
14 26 64.0324230769 46.6987307692 16.6751923077 
15 26 65.9444615385 45.7487307692 57.3586538462 
