# Cluster list (130 data points):
# "Cluster Identifier" "Cluster Size"
1 234 
2 1274 
3 286 
4 598 
5 26 
6 728 
7 858 
8 546 
9 832 
10 3016 
11 104 
12 104 
13 104 
14 546 
15 78 
16 130 
17 364 
18 676 
19 468 
20 962 
21 1612 
22 260 
23 78 
24 26 
25 130 
26 182 
27 208 
28 1326 
29 624 
30 832 
31 260 
32 104 
33 286 
34 442 
35 26 
36 78 
37 494 
38 182 
39 52 
40 52 
41 572 
42 260 
43 130 
44 78 
45 130 
46 130 
47 52 
48 130 
49 78 
50 26 
51 26 
52 234 
53 78 
54 182 
55 234 
56 104 
57 26 
58 78 
59 52 
60 78 
61 52 
62 26 
63 26 
64 78 
65 78 
66 52 
67 78 
68 52 
69 52 
70 26 
71 26 
72 52 
73 416 
74 182 
75 104 
76 52 
77 130 
78 52 
79 130 
80 26 
81 130 
82 52 
83 78 
84 130 
85 52 
86 52 
87 78 
88 52 
89 104 
90 104 
91 26 
92 26 
93 52 
94 78 
95 26 
96 26 
97 78 
98 104 
99 78 
100 52 
101 52 
102 52 
103 26 
104 26 
105 26 
106 26 
107 26 
108 78 
109 26 
110 26 
111 26 
112 52 
113 26 
114 52 
115 52 
116 26 
117 26 
118 26 
119 26 
120 26 
121 26 
122 52 
123 26 
124 78 
125 52 
126 26 
127 26 
128 26 
129 26 
130 26 
