Step,Total,Kinetic,Bonded,Non-Bonded,Pressure
0,61293.17367947621,50866.91781124713,33142.930287507545,-22716.674419278468,0.0025312113924280955
2,61164.129399290905,50871.148087795824,33045.262957854546,-22752.281646359465,0.0036022129554744847
4,61781.11834186243,51140.56598119457,33286.58064946772,-22646.028288799862,0.005426839137731218
6,61458.599076394414,51519.979878903854,33042.72850204604,-23104.109304555477,0.0038055183125667857
8,61263.29900992362,51012.95159944749,33175.78948164619,-22925.442071170062,0.0032990466924486955
10,61248.220117386954,51168.28925590605,33078.642449152,-22998.711587671107,0.003695202262490163
12,60740.309386812856,50831.36781665804,33032.0504903565,-23123.10892020169,0.0017411286588527447
14,60570.38035252968,51065.651559987644,32945.515182091025,-23440.78638954898,0.003825612796104688
16,60888.62403851107,50966.253042680626,33051.011320717924,-23128.640324887463,0.003935598581889133
18,60917.67168490478,51137.14992176094,33098.7225812859,-23318.200818142064,0.0027923167644267194
20,60936.438223917925,51190.22196877604,33057.153578162855,-23310.93732302096,0.003478001251118884
22,60726.89962468661,51289.10772992523,32930.3378120696,-23492.545917308213,0.0031940730138274864
24,60429.55707280672,51112.36446010442,32935.70311970734,-23618.51050700504,0.0022059204936243915
26,60660.767606539106,51217.464054100936,33139.71321049453,-23696.409658056356,0.003375963249896141
28,60312.469648844315,50958.851086108596,32993.46666703683,-23639.848104301112,0.0044169810703666434
30,59546.25459974987,51058.38001477079,33031.73932679556,-24543.864741816473,0.002248684568799522
32,59877.41741918063,51037.619341280624,32965.726200886886,-24125.928122986887,0.0036803183408922052
34,59896.30220199743,51044.72218224167,33031.778028423265,-24180.198008667507,0.0029364560694982167
36,59978.70546870664,51374.4536682124,33043.15142736486,-24438.899626870614,0.0029107974279660026
38,60314.57387681824,51659.53696533044,32877.81737132689,-24222.780459839087,0.005419640955424826
40,59959.005919240786,51171.09750166463,33197.745850852596,-24409.837433276443,-0.0007649394157206862
42,60248.66614321841,51509.59568614781,33349.38656717886,-24610.316110108266,0.00022744214473642554
44,58856.87474931894,50584.941571349,33064.934255516266,-24793.001077546323,0.0027458429175759858
46,59013.024720972935,50846.22352217316,33126.28653808485,-24959.48533928507,-0.0003849580935690461
48,59177.17057590546,50891.92879895457,32973.344256863966,-24688.10247991308,0.00018610242353389594
50,59585.77731068646,51411.720221326555,32907.95944087934,-24733.902351519424,0.00528871761424847
52,59195.053032021184,51273.48659675385,32919.59765702014,-24998.03122175281,0.0029506781630061485
54,59012.32443357495,51052.99337877256,33100.57475744529,-25141.2437026429,0.0020591621374038277
56,58826.65717796657,50964.22368726262,33041.374687320116,-25178.94119661617,0.0018650044711997632
58,58703.286202420466,51086.00735539966,32750.00382603835,-25132.72497901755,0.003554337547065245
60,58412.95994519549,50851.931672816856,32938.00589969596,-25376.977627317327,0.0027970860171626782
62,57993.46914857088,50808.825592034846,33104.50078451158,-25919.85722797555,-0.00037135043326855244
64,58309.06564228066,51020.07704007227,33137.5162852608,-25848.527683052405,0.0015824270504876392
66,58495.651036483294,51231.22878151692,32939.80272771315,-25675.380472746765,0.0033556270454320886
68,58403.52214675924,51072.0435358553,33048.594362685566,-25717.115751781617,0.002421064298822842
70,58416.97306962106,51224.55888635516,33150.53264512301,-25958.118461857095,0.0015393428566310707
72,58233.64542138132,51241.558326551734,33012.81284280601,-26020.725747976416,0.002856817794424066
74,57650.23925074451,50769.889237287454,33028.34871031981,-26147.99869686276,0.0028979300061458824
76,58181.96875333154,51319.88668525559,33078.373991084685,-26216.291923008743,0.0019161332536014042
78,57720.47303583391,51047.166191215125,33281.123050087335,-26607.816205468553,-0.00030398873540424254
80,57637.26561250241,50774.06948543576,33152.19452405934,-26288.99839699268,0.002049218859571142
82,57961.591392698065,51289.13674475735,33070.119134914356,-26397.664486973645,0.001341111147826854
84,57652.82006913292,51383.76075219404,32808.360757887895,-26539.301440949013,0.0020491336781044978
86,57282.89754041425,50954.35881445757,32965.187126012475,-26636.648400055794,0.002007881047622437
88,57400.08701992776,50893.61844273299,33083.08368049864,-26576.61510330387,0.0015472677969859266
90,57087.685112352105,50781.253985486874,32887.31662276445,-26580.88549589922,0.003336490243168261
92,56926.6882698837,50577.27906077901,33127.39176675032,-26777.982557645635,-0.00031041643111762163
94,57410.5158824168,51359.069223554456,33102.336941797614,-27050.89028293526,0.000596957297653522
96,56958.93584610386,50930.77289208371,33114.71025445484,-27086.547300434693,0.0013185087413339486
98,56971.16159974698,50893.83743082776,33089.35045866351,-27012.026289744288,0.0008253669864016627
100,56699.25407179366,51111.411921994986,32868.32579434397,-27280.48364454529,0.002830357728432098
102,57222.133714092575,51363.09769966766,33097.54550343352,-27238.509489008604,0.0015610016657437858
104,56823.26789693089,50987.65531722984,33223.84446548791,-27388.231885786863,-5.7368560255829926e-05
106,56862.640704521626,51277.89304565509,32781.97608616548,-27197.228427298942,0.0031296491244003632
108,56692.83346580238,51028.55069960007,33082.02899269806,-27417.746226495758,0.0010221632602112063
110,56910.86210037952,51432.04084528363,32955.49838505059,-27476.6771299547,0.003562777811602691
112,56642.29472377847,50946.91173861462,33097.54037171266,-27402.157386548814,0.0014447079301600357
114,56421.08332590024,50753.19487666534,33037.09110356805,-27369.202654333145,0.0026775766442805327
116,56908.88988445846,50999.529316421125,33308.053638759135,-27398.693070721798,-0.00011205007775737241
118,56479.15400741005,51088.49378906687,32897.24462400584,-27506.58440566267,0.0028952575750887943
120,56093.55370782521,50724.157640513506,32800.837917466575,-27431.44185015488,0.0036684846952571154
122,56469.68260109595,50950.26842355977,32835.45137768043,-27316.037200144245,0.0016075808174393774
124,56777.76923532905,51322.35302676744,33099.25308874054,-27643.836880178933,-0.00018403848763898223
126,56471.0413821354,51070.30410618149,32881.86006257532,-27481.122786621403,0.0018568087301862046
128,56538.26698769986,51233.43684612426,33023.23186221609,-27718.40172064049,-7.223187553255517e-05
130,56679.233566314695,51240.31565928587,33038.603051750084,-27599.685144721254,0.0005726120571062504
132,56347.1977904594,51302.04159639476,32928.73318032817,-27883.576986263528,0.000909695813562178
134,56722.966638309794,51448.39549981497,33246.69943062394,-27972.128292129113,0.002871307724204006
136,56132.23492149549,51085.13051615998,32963.84151711556,-27916.73711178005,0.0029662086677706423
138,55965.45631877167,50983.14274054803,33022.05973123486,-28039.746153011216,0.0015310313611692078
140,56861.68346292373,51512.60100555161,33085.7918954611,-27736.70943808898,0.00238866700111956
142,56110.017222698814,51087.57242996791,32929.53162794393,-27907.08683521303,0.0013012885893561588
144,55973.84061989006,50910.62133060884,33066.00854745529,-28002.78925817406,0.00177933289342809
146,56049.13237641119,51259.67632931577,32821.12616896545,-28031.67012187003,0.0026117822723326772
148,55848.70520643811,51147.885672609955,32970.53461797998,-28269.71508415183,0.0005189539235211926
150,56359.8065734102,51009.50692192753,33233.64388308054,-27883.344231597875,0.0010993324583586789
152,56132.48822262136,51301.452605921244,32841.68953027137,-28010.65391357126,0.0018114369702472433
154,56040.10273621468,51033.03874323277,33080.20505891582,-28073.141065933905,0.0019362796189092008
156,55822.18142019173,51143.49361380494,33003.990745879775,-28325.302939492987,9.14094679313332e-05
158,55677.7998573315,51059.27955323039,32935.7350528171,-28317.214748715993,0.0008843985820534972
160,55561.938552638094,51289.105905332115,32815.69317393538,-28542.860526629403,0.0026271828469132535
162,55605.37468639335,51093.7597846851,32940.19957011716,-28428.584668408916,0.001993440355304993
164,55616.19341141507,51145.73479139903,33114.95081976524,-28644.492199749202,6.129730002457645e-05
166,55818.457241034266,51617.77073314694,32817.47385685501,-28616.787348967682,0.0030447652876276765
168,54979.17734810989,50398.34178423854,33153.07877671413,-28572.243212842775,-0.0008473970137766879
170,55100.41087393893,50950.99411906032,32903.450861899495,-28754.034107020885,0.0007375757242372855
172,55359.33668349432,51118.61284851117,33221.616183440405,-28980.892348457248,-0.0002099758299868859
174,55510.29400326539,51076.615308071356,33115.74302621493,-28682.06433102089,-0.00041318987146680974
176,55121.595062779474,50845.62232791584,32805.27539783469,-28529.302662971044,0.002287019342609359
178,55133.28610939693,51057.480375966734,33114.80208650264,-29038.996353072445,-0.0004326670709737801
180,55155.55584678592,50963.77116692646,32991.52680205153,-28799.742122192067,0.0011427687695921146
182,54996.96163980144,50875.995809965316,32847.4376170364,-28726.471787200273,0.004469734265781955
184,55293.23873182557,51277.25493112084,32842.229612147996,-28826.24581144326,0.0013793209714577925
186,54693.54075964158,50667.84200847337,32916.80811066074,-28891.10935949253,0.0011816396913735816
188,55417.62454471778,51104.79934030448,33277.26693162574,-28964.44172721244,0.0001437448614864667
190,55017.72670729685,50631.22619964417,32980.28218952129,-28593.7816818686,0.00231581887228495
192,55332.75296756222,50750.83869316595,33145.07134283093,-28563.15706843465,0.001352535771912411
194,55212.91000840671,51212.78140786504,32833.08008055977,-28832.9514800181,0.002073235190036049
196,54559.44906408761,50546.34651115918,33129.55594654193,-29116.453393613494,-0.0006161102683455155
198,54906.32524991864,51264.843357475096,33084.967051277585,-29443.48515883403,-0.0005849277679322168
200,54661.680102615675,50705.87474538089,33337.25528619475,-29381.449928959963,-0.00013682554265501135
202,54703.6276000576,50955.412201996296,32745.58404378195,-28997.36864572065,0.0051056876583146504
204,54436.291357306975,50769.66144591644,32880.97731138903,-29214.347399998507,0.0011948974534958523
206,55155.51751223956,51307.27226719828,32844.85695876045,-28996.611713719165,0.004763834666521943
208,54666.005126703414,51319.35536746644,32963.689287053465,-29617.039527816498,0.0025346722091104668
210,54836.53980920618,51212.278693403015,32873.112881084046,-29248.85176528088,0.003721582767694742
212,54944.2538411032,51162.411487309015,33038.729240504654,-29256.886886710476,0.002024558824806441
214,54505.45825133442,50773.4146159192,33182.01534720145,-29449.971711786227,0.0006380068152888191
216,54537.68673614879,50944.3762867148,32986.91106132386,-29393.60061188987,0.004038049058001897
218,54829.48283995999,51285.484623380114,32879.839151220396,-29335.840934640535,0.004162496128247858
220,53847.2456805066,50460.541566213076,32727.286096580225,-29340.581982286705,0.0014511623746514823
222,54611.85466707194,51363.72493104569,32836.083776033694,-29587.954040007447,0.004027334816424283
224,54162.037374561536,50750.073295562885,33087.68884050643,-29675.72476150778,0.0011285227099621514
226,54383.77542654418,51042.28725348544,32975.465506498665,-29633.97733343993,0.002165329172074293
228,54397.383649311894,51140.88117651013,32809.89596679308,-29553.393493991323,0.0019492876105354079
230,53942.399528970076,50574.13046831157,32976.44137976402,-29608.172319105513,0.001444674700856241
232,54814.440169368885,51466.92381876407,33098.12513578146,-29750.60878517665,-0.0001711457131348404
234,54115.829977808644,50996.36864640523,32822.34967521566,-29702.88834381225,0.0037522242286652935
236,54626.99667516165,51314.14459715721,32860.78085502352,-29547.92877701908,0.0030621196778217175
238,54791.87338363871,51180.27870669111,33029.364587236014,-29417.769910288425,0.003462904531051539
240,54077.67838595685,50988.50014596737,32859.25628603472,-29770.078046045237,0.002820111214944618
242,54168.275597956395,51033.26031603161,33057.052311485575,-29922.03702956079,-0.0009750631589780651
244,54127.58582380871,50817.33198397925,32852.67264153184,-29542.418801702388,0.0021819470409374098
246,54196.561556050336,51189.96245254148,32746.924813959904,-29740.32571045104,0.0018904934194520079
248,53887.12881351437,50926.324861178844,32874.598510586606,-29913.794558251073,0.003145014808550353
250,53919.99729641812,50635.555624604465,33091.45306199005,-29807.011390176398,0.0012883074144972306
252,54183.3072435677,51200.160565578815,32943.59620662228,-29960.4495286334,0.002554435882856476
254,54136.70751197841,50971.4275629662,33144.62279330174,-29979.34284428954,0.000403480756376251
256,53878.80837757155,51094.56715640346,32740.64688566257,-29956.40566449448,0.003951433012199412
258,53979.1588417832,51297.148205092875,32718.974996216777,-30036.964359526442,0.001594053653342281
260,53741.864530047584,51009.01921127145,33088.284973662805,-30355.43965488667,-0.0004645896559763163
262,53374.78504971114,50584.80105722426,32971.279009556114,-30181.295017069227,0.0010937851423739042
264,53359.18113930371,50807.074199481656,32660.320609721126,-30108.213669899073,0.0041430623219564505
266,53792.6152083177,50982.38878624455,33023.04814927551,-30212.82172720236,0.0008726568313077027
268,53411.53372945226,50938.753493646196,32754.303483296906,-30281.523247490844,0.004747938926651388
270,53764.989556686196,51091.12649469712,33015.935621939374,-30342.072559950288,0.0023012542301979882
272,53286.66987560154,50613.536728425395,32951.518676990796,-30278.38552981465,0.0009379914006573814
274,53570.213852086184,50855.9455393748,32783.19280206252,-30068.924489351142,0.003061040688353986
276,54232.50688852831,51428.567065912626,33105.14400596351,-30301.20418334783,0.0020422581697880915
278,54218.22227583113,51424.39069740534,32989.328771734035,-30195.49719330825,0.0014752276061051062
280,53517.562012536575,50857.83966212946,32866.78131386785,-30207.058963460724,0.0032939300792853843
282,53822.844927758284,51016.661149036394,32980.474391237,-30174.290612515106,0.001733428280502755
284,53394.98910015162,50745.351806593906,32932.99770234229,-30283.360408784574,0.00243313260288798
286,53606.65454779934,50733.70273242066,32950.71141899734,-30077.75960361865,0.001930135433695801
288,53718.39901135318,50862.49685450819,32939.42487807206,-30083.522721227062,0.0006485542139963302
