# Cluster list (80 data points):
# "Cluster Identifier" "Cluster Size"
1 17798 
2 66 
3 66 
4 88 
5 22 
6 770 
7 110 
8 110 
9 132 
10 22 
11 44 
12 110 
13 176 
14 198 
15 44 
16 22 
17 88 
18 22 
19 22 
20 22 
21 66 
22 66 
23 44 
24 22 
25 176 
26 22 
27 66 
28 22 
29 22 
30 44 
31 66 
32 132 
33 22 
34 22 
35 44 
36 44 
37 22 
38 22 
39 66 
40 22 
41 22 
42 22 
43 88 
44 66 
45 22 
46 22 
47 66 
48 22 
49 22 
50 22 
51 22 
52 22 
53 22 
54 22 
55 22 
56 22 
57 22 
58 22 
59 44 
60 22 
61 22 
62 22 
63 22 
64 22 
65 22 
66 22 
67 22 
68 22 
69 22 
70 22 
71 22 
72 22 
73 22 
74 22 
75 22 
76 22 
77 22 
78 22 
79 22 
80 22 
