# Cluster list (20 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 25428 27.8636367784 27.561305844 27.8839338918 
2 52 -6.9520576923 10.3365384615 -1.9424423077 
3 52 -9.7776346154 53.2275576923 50.5861730769 
4 52 26.0425576923 -7.0651538462 -0.4181153846 
5 26 18.1008846154 -6.6573076923 48.6784615385 
6 26 56.6662307692 62.6157692308 45.5625 
7 26 60.2608076923 56.9228461538 30.5748461538 
8 26 -4.7954615385 17.6449230769 58.2596538462 
9 26 10.6026538462 32.3002307692 -10.1358076923 
10 26 6.7221923077 -5.0995 58.6142307692 
11 26 -6.2474230769 8.7528461538 12.2858076923 
12 26 -4.2529615385 -6.7454615385 23.3108846154 
13 26 26.1174615385 -2.8294615385 54.9458076923 
14 26 -5.5150769231 33.0573076923 -8.6090769231 
15 26 9.4620769231 3.9373461538 62.3826153846 
16 26 -1.5791153846 -1.8045769231 52.1012692308 
17 26 65.7777307692 49.23 35.6723076923 
18 26 49.4636538462 38.1126538462 64.3803076923 
19 26 36.1803461538 -5.8088846154 42.5297692308 
20 26 62.8928846154 53.4843461538 61.0318846154 
