# Cluster list (154 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 1664 31.7353203125 44.2533647837 55.6966802885 
2 1196 8.182729097 38.1183377926 22.354951505 
3 988 63.767895749 27.7130060729 58.7970222672 
4 780 48.2154679487 11.6569205128 12.0435538462 
5 728 12.3041208791 65.6301002747 30.6581236264 
6 676 72.9153846154 49.878693787 44.8852085799 
7 650 15.9087338462 27.0826784615 42.7901584615 
8 624 54.3476410256 58.9149246795 37.9642692308 
9 572 37.4030769231 11.6131538462 69.1770734266 
10 572 15.9398933566 30.1193339161 75.5089842657 
11 546 51.9607014652 55.5307216117 73.3505897436 
12 546 43.699503663 50.6627564103 23.9764432234 
13 546 10.5456959707 8.6189029304 11.7936080586 
14 546 65.7311556777 67.0952765568 69.1593424908 
15 546 59.2171978022 26.7186391941 36.7804139194 
16 494 31.776242915 13.4307793522 22.4555101215 
17 468 69.0062051282 72.9138397436 29.3279850427 
18 442 52.9806470588 45.3864049774 1.4790384615 
19 442 72.9145746606 44.6661900452 20.4733778281 
20 416 57.2908798077 8.6800240385 71.1066129808 
21 364 24.7957362637 1.6407417582 37.3341153846 
22 312 14.7985384615 11.6211153846 53.0799423077 
23 312 55.3235064103 9.8601282051 48.0234391026 
24 312 27.3120673077 59.9725032051 8.2173942308 
25 312 42.1246602564 42.2381923077 68.7956410256 
26 286 65.9288916084 77.7189020979 13.6711433566 
27 286 31.2216258741 29.7337307692 6.1833706294 
28 286 69.4118846154 42.4804300699 74.6379440559 
29 260 22.6228884615 42.1918038462 6.1272653846 
30 260 51.0341461538 22.7107423077 63.4373269231 
31 260 14.8969807692 74.75845 68.7410692308 
32 260 13.6610153846 62.6327961538 61.9933846154 
33 234 72.5894871795 -0.4680854701 30.439491453 
34 234 -0.7761965812 62.3753119658 52.065491453 
35 234 52.5754017094 78.107457265 50.5560213675 
36 234 79.3097179487 58.9828247863 12.8557905983 
37 208 44.1242836538 6.0699278846 36.4434807692 
38 182 67.1723681319 5.3782692308 56.5423021978 
39 182 40.6000824176 28.6166318681 34.025989011 
40 182 10.2388296703 46.5930604396 57.4209615385 
41 182 76.6897527473 16.0995879121 12.8162912088 
42 156 43.1566538462 6.8383461538 57.1892115385 
43 156 59.1229423077 64.141974359 2.8008269231 
44 156 3.095025641 50.2326346154 72.9491602564 
45 130 15.1745076923 57.0302153846 80.8017 
46 130 22.6361153846 44.5161769231 28.1234 
47 130 76.4027076923 25.5023615385 81.4739461538 
48 130 0.0208 62.7488615385 75.8307 
49 130 52.5569692308 79.2674076923 69.8427384615 
50 130 25.7460923077 72.9666230769 1.9826153846 
51 130 12.7156615385 14.3194153846 71.9990769231 
52 130 20.3989461538 26.8588307692 16.6346538462 
53 130 35.3070769231 69.6216230769 75.9319846154 
54 130 24.5130384615 53.7281923077 47.2601230769 
55 130 65.5258076923 18.2105692308 4.5887769231 
56 130 78.4238153846 65.8439923077 36.3768384615 
57 104 80.4255961538 -0.5069423077 49.54075 
58 104 -1.6006442308 19.4476057692 66.1313653846 
59 104 52.0308076923 71.5779903846 36.8999519231 
60 104 -0.8405480769 -0.4140288462 67.2735576923 
61 104 73.7899423077 24.0464134615 25.6595480769 
62 104 12.5870096154 -4.3389903846 4.6193173077 
63 104 73.0833461538 17.9360673077 37.1213557692 
64 104 76.4980384615 26.8839038462 -0.1556923077 
65 104 34.822625 84.9506442308 73.037375 
66 104 63.1589903846 32.2733653846 19.8447884615 
67 104 1.4281442308 80.5693173077 49.4840480769 
68 104 26.5268269231 63.5263557692 31.3394326923 
69 78 -9.7723717949 68.6529358974 73.5613333333 
70 78 40.7191025641 87.3899871795 57.1684102564 
71 78 -2.635474359 67.5741538462 36.3150769231 
72 78 -3.2293461538 1.3380384615 25.3032307692 
73 78 59.7171794872 -3.3498589744 1.2936410256 
74 78 64.9514358974 58.3588205128 29.5070128205 
75 78 78.4146025641 0.8125128205 69.0437820513 
76 78 56.4596923077 34.6085641026 18.6563846154 
77 78 -0.2940897436 62.7130641026 -4.1608846154 
78 78 64.5892307692 -1.6565 13.216974359 
79 78 46.9859358974 85.8308717949 17.1103205128 
80 78 -1.7314358974 14.0495897436 9.4047307692 
81 78 77.6235512821 82.9153717949 26.1719358974 
82 78 14.3986025641 56.2222820513 -2.2734487179 
83 78 22.1320897436 42.3977307692 86.7215512821 
84 78 86.0625 36.0122051282 72.7531410256 
85 78 26.6546538462 3.1083717949 5.9325128205 
86 78 67.1362948718 41.3683205128 -3.1350897436 
87 78 43.8582692308 12.4125 80.3793974359 
88 52 11.3535 74.9793653846 84.0883653846 
89 52 4.3405576923 35.5315961538 -9.7426346154 
90 52 34.3332692308 43.3245 -6.3495 
91 52 49.2275961538 39.5731538462 84.1952307692 
92 52 4.8173461538 84.5916923077 10.9764615385 
93 52 -2.6555 27.5746538462 -2.7083461538 
94 52 64.4782692308 18.5528076923 85.5597115385 
95 52 78.0820192308 -1.5767115385 84.0089038462 
96 52 29.8520576923 79.4625 40.4150384615 
97 52 20.8072307692 -5.5253461538 66.9653269231 
98 52 48.2416923077 17.9733269231 -3.9782884615 
99 52 35.5684038462 31.1482884615 86.7793461538 
100 52 85.4704230769 68.5401730769 4.9792115385 
101 52 15.8160961538 86.4242692308 19.2505 
102 52 32.3649423077 36.3244615385 22.9033461538 
103 52 81.0684230769 81.293 51.5568269231 
104 52 73.9738076923 32.1283269231 43.2078653846 
105 52 5.7761730769 66.9922692308 5.9363461538 
106 52 54.6315 90.35375 44.8557692308 
107 52 53.0142692308 54.03375 61.3112307692 
108 52 1.7571923077 49.1449807692 27.7785384615 
109 52 36.0714615385 70.2488461538 7.9741730769 
110 52 13.3725576923 78.8622307692 26.0257307692 
111 52 50.3360576923 79.3436538462 -9.3674230769 
112 52 0.9336346154 47.0811153846 45.6874423077 
113 52 12.6898653846 78.0099423077 2.7508653846 
114 26 35.935 67.5503846154 -3.4792692308 
115 26 61.936 86.7297307692 -3.8810769231 
116 26 -13.156 19.7225384615 57.2519615385 
117 26 24.8254230769 80.3236923077 29.7212307692 
118 26 84.4906923077 8.6640384615 7.8393461538 
119 26 85.6284615385 32.1304615385 26.3606538462 
120 26 13.0313076923 84.1473846154 40.1858846154 
121 26 25.4259230769 72.3606153846 85.8283076923 
122 26 60.5093076923 -3.4867692308 44.7774230769 
123 26 59.2755384615 62.7494230769 85.2993846154 
124 26 0.4398461538 60.8648846154 11.6635769231 
125 26 -2.0430384615 27.9872307692 82.8940384615 
126 26 45.8475 17.1240384615 40.1161538462 
127 26 11.037 14.0950769231 -7.9820384615 
128 26 13.0250769231 -2.5829230769 87.5482307692 
129 26 -1.2809615385 83.0021923077 69.665 
130 26 78.8700769231 77.0261923077 2.4433076923 
131 26 65.9760384615 80.1665769231 63.4346538462 
132 26 21.8775769231 2.5983846154 -1.0266923077 
133 26 -6.0910769231 45.1521153846 15.5957692308 
134 26 33.9440384615 2.6280769231 -4.6775 
135 26 43.1997307692 36.8659615385 61.1512692308 
136 26 44.631 84.3635769231 39.1420384615 
137 26 82.5442692308 60.9756923077 54.2745769231 
138 26 21.02 4.5062692308 81.9398461538 
139 26 66.0983846154 44.6644230769 61.6355384615 
140 26 78.406 79.7994230769 46.8895 
141 26 -9.3188076923 54.9218846154 53.4041153846 
142 26 85.7359230769 29.0967307692 47.3831538462 
143 26 27.3218846154 -8.0810384615 1.9675769231 
144 26 -6.5225384615 19.2118846154 40.1598846154 
145 26 46.0604615385 66.7463461538 -10.2996538462 
146 26 94.7217692308 71.3325384615 36.6645769231 
147 26 54.5289230769 50.3217692308 47.2499615385 
148 26 50.2529230769 87.0908846154 7.6587692308 
149 26 45.6665 28.9730384615 51.4268846154 
150 26 14.4689230769 -11.0199615385 38.481 
151 26 54.3441153846 -2.5077307692 69.2181923077 
152 26 55.7845384615 -0.4830769231 38.9522307692 
153 26 87.4461538462 68.9599615385 86.9097692308 
154 26 34.0989230769 -13.7158461538 74.4076153846 
