# Cluster list (11 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 25480 21.7612178964 21.7497643642 22.3498556907 
2 156 31.6505 1.6315064103 -2.1958333333 
3 78 53.8981794872 40.1508461538 30.652474359 
4 52 1.8815192308 12.5234615385 -8.4483846154 
5 52 55.4543269231 37.0023269231 0.2346153846 
6 52 -1.7309807692 34.6759423077 -6.0484230769 
7 26 -1.2276538462 16.2349615385 51.9655769231 
8 26 24.5686153846 46.7444230769 9.3638846154 
9 26 49.0258846154 47.7664615385 14.3985769231 
10 26 -8.3330769231 1.9158461538 34.9943076923 
11 26 51.2665384615 39.3017307692 45.3037307692 
