# Cluster list (34 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 19942 31.1791859894 25.7886831812 30.3498740848 
2 4082 7.5269911808 41.2062172954 20.110211661 
3 234 54.0334786325 6.1549358974 8.1217820513 
4 156 45.9620705128 -3.7504166667 25.5111987179 
5 130 34.3744307692 25.5696153846 33.1528846154 
6 130 58.4037230769 -8.3701461538 17.7134692308 
7 104 60.7819423077 -0.3550096154 32.7229134615 
8 104 10.3081538462 -7.5377211538 2.1182884615 
9 104 26.2972307692 47.9147307692 0.9032788462 
10 104 4.6264134615 -8.2518173077 17.1387307692 
11 78 -4.2483461538 59.9915897436 50.01 
12 78 12.1700512821 -7.4956666667 54.5486538462 
13 52 32.8105576923 11.5513653846 63.4769230769 
14 52 42.9643461538 0.9984615385 -4.3531923077 
15 52 3.5903461538 25.4006153846 63.7125961538 
16 52 40.4053269231 -4.7594423077 10.1234230769 
17 52 64.3996153846 44.9829038462 -1.1461730769 
18 52 -7.6832692308 17.0850961538 24.1686153846 
19 52 35.4147884615 54.0200192308 -8.6558076923 
20 26 45.9277307692 6.7778461538 -1.0652307692 
21 26 43.7321538462 47.8637307692 59.9296538462 
22 26 58.6551538462 14.7478461538 -2.8708461538 
23 26 21.1501923077 59.5213846154 25.5682692308 
24 26 43.2031538462 62.0422307692 -0.8158846154 
25 26 -10.6642692308 30.1605384615 -3.6998461538 
26 26 68.3446923077 31.5180769231 25.5493846154 
27 26 16.7096923077 -8.9527692308 -2.4340384615 
28 26 -12.6113076923 33.1178461538 2.5498076923 
29 26 64.0611538462 18.2578846154 34.2603076923 
30 26 26.4799230769 -6.7425769231 3.8723461538 
31 26 14.0531538462 68.2968846154 9.1049615385 
32 26 33.4842307692 26.2296538462 60.1991153846 
33 26 -2.0154615385 16.4381153846 -4.0748461538 
34 26 64.3514615385 44.5814615385 56.0675769231 
